"Location","Capacity","1-Aug-20","2-Aug-20","3-Aug-20","4-Aug-20","5-Aug-20","6-Aug-20","7-Aug-20","8-Aug-20","9-Aug-20","10-Aug-20","11-Aug-20","12-Aug-20","13-Aug-20","14-Aug-20","15-Aug-20","16-Aug-20","17-Aug-20"
"Mississippi State Penitentiary","3,560","2,032","2,029","2,029","2,026","2,029","2,032","2,027","2,026","2,026","2,025","2,022","","","","","",""
"Central Mississippi Correctional Facility","4,094","3,061","3,061","3,063","3,051","3,040","3,038","3,032","3,030","3,030","3,029","3,064","","","","","",""
"Youthful Offender Unit","58","17","17","17","17","17","16","16","16","16","16","16","","","","","",""
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"South Mississippi Correctional Institution","3,082","2,464","2,463","2,462","2,462","2,456","2,456","2,452","2,452","2,451","2,448","2,441","","","","","",""
"County Jails","1,793","1,733","1,733","1,741","1,761","1,772","1,779","1,814","1,814","1,814","1,835","1,796","","","","","",""
"COMMUNITY WORK CENTERS","1,372","492","492","488","488","489","487","486","486","486","484","481","0","0","0","0","0","0"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Delta Satellite Facility","124","113","113","106","106","104","104","112","112","112","103","103","","","","","",""
"Delta TVC","324","52","52","50","50","53","51","51","51","51","50","49","","","","","",""
"Forrest Satellite Facility","96","37","37","37","37","37","37","36","36","36","36","35","","","","","",""
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Harrison Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Madison Satellite Facility","62","43","43","50","50","50","50","42","42","42","50","49","","","","","",""
"Noxubee Satellite Facility","58","49","49","48","48","48","48","48","48","48","48","48","","","","","",""
"Pike Satellite Facility","93","58","58","58","58","58","58","58","58","58","58","58","","","","","",""
"Quitman Satellite Facility","93","41","41","41","41","41","41","41","41","41","41","41","","","","","",""
"Rankin Satellite Facility","178","98","98","97","97","97","97","97","97","97","97","97","","","","","",""
"Rankin Satellite Facility (RRP)","28","1","1","1","1","1","1","1","1","1","1","1","","","","","",""
"Flowood TVC","50","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
