"Location","Capacity","1-Mar-20","2-Mar-20","3-Mar-20","4-Mar-20","5-Mar-20","6-Mar-20","7-Mar-20","8-Mar-20","9-Mar-20","10-Mar-20","11-Mar-20","12-Mar-20","13-Mar-20","14-Mar-20","15-Mar-20","16-Mar-20","17-Mar-20"
"Mississippi State Penitentiary","3,560","2,200","2,172","2,170","2,157","2,147","2,144","2,144","2,143","2,157","2,153","2,155","2,145","2,142","2,137","2,136","2,132","2,132"
"Central Mississippi Correctional Facility","4,094","3,669","3,680","3,682","3,694","3,708","3,729","3,732","3,733","3,705","3,735","3,741","3,756","3,754","3,753","3,753","3,751","3,751"
"Youthful Offender Unit","58","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","22","22"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,654","2,655","2,657","2,653","2,655","2,652","2,651","2,652","2,649","2,649","2,649","2,655","2,656","2,656","2,656","2,653","2,653"
"County Jails","1,793","1,291","1,291","1,244","1,240","1,235","1,251","1,251","1,251","1,261","1,255","1,207","1,197","1,202","1,202","1,202","1,214","1,214"
"COMMUNITY WORK CENTERS","1,372","776","805","815","810","804","792","788","788","793","790","797","794","785","785","784","779","779"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","64","64","63","62","61","59","59","59","61","58","58","59","65","65","65","64","64"
"Delta TVC","324","160","172","168","173","172","168","164","164","162","161","173","172","167","167","167","166","166"
"Forrest Satellite Facility","96","52","58","58","58","58","56","56","56","56","56","55","55","55","55","55","55","55"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","40","39","39","38","37","36","36","36","33","34","34","34","34","34","34","34","34"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","62","63","62","61","60","60","60","60","58","58","57","55","55","55","55","55","55"
"Noxubee Satellite Facility","58","39","39","39","39","37","42","42","42","42","41","41","41","41","41","41","41","41"
"Pike Satellite Facility","93","77","77","77","77","77","77","77","77","78","78","77","77","76","76","76","76","76"
