"Location","Capacity","18-May-20","19-May-20","20-May-20","21-May-20","22-May-20","23-May-20","24-May-20","25-May-20","26-May-20","27-May-20","28-May-20","29-May-20","30-May-20","31-May-20 Avg Population",""
"Mississippi State Penitentiary","3,560","2,021","2,021","2,019","2,018","2,017","2,017","2,016","2,015","2,011","2,016","2,017","2,012","2,012","2,010","2,027"
"Central Mississippi Correctional Facility","4,094","3,392","3,380","3,366","3,365","3,362","3,359","3,359","3,359","3,354","3,342","3,330","3,321","3,320","3,319","3398"
"Youthful Offender Unit","58","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,483","2,484","2,481","2,479","2,478","2,478","2,478","2,478","2,478","2,472","2,467","2,458","2,457","2,457","2492"
"County Jails","1,793","1,480","1,489","1,501","1,497","1,508","1,508","1,508","1,508","1,508","1,522","1,529","1,541","1,541","1,541","1488"
"COMMUNITY WORK CENTERS","1,372","529","528","523","520","518","516","516","516","513","510","509","510","510","510","526"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","90","90","90","97","97","97","97","97","88","88","88","96","96","96","78"
"Delta TVC","324","7","7","7","6","5","5","5","5","5","4","4","4","4","4","8"
"Forrest Satellite Facility","96","80","80","80","71","71","71","71","71","71","71","71","72","72","72","73"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","46","46","46","47","46","45","45","45","53","52","52","44","44","44","49"
"Noxubee Satellite Facility","58","36","36","36","36","36","36","36","36","36","36","36","36","36","36","37"
"Pike Satellite Facility","93","78","77","74","74","74","73","73","73","73","73","73","73","73","73","78"
"Quitman Satellite Facility","93","49","49","49","49","49","49","49","49","49","49","49","49","49","49","49"
"Rankin Satellite Facility","178","132","132","130","129","129","129","129","129","128","128","127","127","127","127","131"
"Rankin Satellite Facility (RRP)","28","11","11","11","11","11","11","11","11","10","9","9","9","9","9","11"
"Flowood TVC","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,038","4,033","4,026","4,022","4,017","4,015","4,015","4,013","4,006","3,999","4,002","3,991","3,991","3,990","4048"
"Alcorn County","300","282","282","281","281","281","281","281","281","281","281","288","288","288","288","284"
"Bolivar County","369","272","272","271","271","270","269","269","269","269","269","268","266","266","266","274"
"Carroll County","280","251","250","251","250","250","249","249","249","248","248","248","247","247","247","251"
"Chickasaw County","310","295","295","295","295","295","295","295","295","295","295","295","295","295","295","296"
"George County","342","315","315","315","315","315","315","315","314","313","312","311","311","311","311","317"
"Holmes County","280","259","259","259","259","259","259","259","259","259","257","257","257","257","257","260"
"Issaquena County","297","291","291","290","289","289","289","289","289","289","288","288","287","287","287","293"
"Jefferson County","280","259","258","258","258","258","258","258","258","256","255","254","254","254","254","258"
"Kemper County","355","300","300","299","299","299","299","299","299","298","297","296","294","294","294","300"
"Leake County","280","237","235","235","235","234","234","234","234","234","234","234","234","234","234","238"
"Marion County","280","370","370","370","370","369","369","369","369","369","368","368","368","368","368","371"
"Stone County","326","263","263","262","262","261","261","261","261","261","261","261","261","261","261","263"
"Washington County","300","133","133","132","132","132","132","132","132","132","132","132","130","130","130","133"
"Winston County","280","235","234","233","232","231","231","231","231","231","231","231","230","230","229","235"
"Yazoo County","300","276","276","275","274","274","274","274","273","271","271","271","269","269","269","276"
"PRIVATE PRISONS","6,000","3,802","3,792","3,789","3,789","3,788","3,789","3,789","3,788","3,787","3,780","3,765","3,763","3,763","3,763","3812"
"Tallahatchie County","1,000","773","767","767","767","767","767","767","767","767","761","749","749","749","749","781"
"East Mississippi","1,500","1,210","1,209","1,207","1,207","1,206","1,207","1,207","1,206","1,205","1,205","1,204","1,203","1,203","1,203","1212"
"Marshall County","1,000","970","970","970","970","970","970","970","970","970","970","969","968","968","968","972"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","849","846","845","845","845","845","845","845","845","844","843","843","843","843","848"
"RESTITUTION CENTERS","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pascagoula","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TRANSITIONAL HOUSING","122","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Madison","40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Noxubee","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rankin/Flowood","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,670","17,764","17,746","17,724","17,709","17,707","17,701","17,700","17,696","17,676","17,660","17,638","17,615","17,613","17,609","17810"
