"Location","Capacity","19-Jan-09","20-Jan-09","21-Jan-09","22-Jan-09","23-Jan-09","24-Jan-09","25-Jan-09","26-Jan-09","27-Jan-09"
"Mississippi State Penitentiary","4,627","4,089","4,082","4,080","4,073","4,059","4,057","4,056","4,074","4,085"
"Central Mississippi Correctional Facility","3,665","3,554","3,555","3,532","3,535","3,522","3,518","3,518","3,497","3,477"
"South Mississippi Correctional Institution","3,204","3,124","3,120","3,117","3,116","3,123","3,122","3,121","3,142","3,138"
"County Jails","1,722","1,686","1,693","1,726","1,757","1,762","1,762","1,762","1,728","1,751"
"COMMUNITY WORK CENTERS","1,848","1,762","1,758","1,728","1,729","1,676","1,674","1,673","1,741","1,769"
"Alcorn Satellite Facility","92","89","89","86","87","85","85","85","87","90"
"Bolivar Satellite Facility","102","97","96","96","96","96","96","96","98","99"
"Forrest Satellite Facility","96","95","95","93","93","92","92","92","96","95"
"George Satellite Facility","102","96","96","96","97","92","92","91","96","96"
"Harrison Satellite Facility","102","96","96","94","94","100","100","100","100","102"
"Jackson Satellite Facility","102","97","97","95","100","97","97","97","100","102"
"Jefferson Satellite Facility","102","96","96","94","94","90","90","90","91","94"
"Leflore Satellite Facility","102","96","94","90","90","86","86","86","89","94"
"Madison Satellite Facility","102","100","100","99","99","97","97","97","97","102"
"Noxubee Satellite Facility","92","91","90","90","89","79","79","79","89","88"
"Pike Satellite Facility","93","91","91","86","83","81","81","81","84","85"
"Quitman Satellite Facility","93","88","90","86","85","81","81","81","83","84"
"Rankin Satellite Facility","260","249","248","246","246","238","236","236","242","252"
"Simpson Satellite Facility","102","94","94","92","92","84","84","84","99","100"
"Washington Satellite Facility","102","97","97","97","97","93","93","93","96","96"
"Wilkinson Satellite Facility","102","91","91","91","91","94","94","94","96","92"
"Yazoo Satellite Facility","102","99","98","97","96","91","91","91","98","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,980","2,975","2,969","2,961","2,964","2,961","2,960","2,948","2,950"
"Bolivar County","294","279","279","278","277","278","277","277","276","277"
"Carroll County","280","274","273","273","273","273","273","273","265","265"
"George County","280","271","270","270","265","263","263","263","266","267"
"Holmes County","280","277","275","275","275","275","274","273","272","272"
"Issaquena County","274","254","253","252","251","258","258","258","258","258"
"Jefferson County","280","272","272","272","272","272","272","272","270","270"
"Kemper County","280","273","273","272","272","271","271","271","269","269"
"Leake County","280","269","269","267","266","266","266","266","266","266"
"Marion County","280","270","270","269","269","268","267","267","267","267"
"Stone County","280","271","271","271","271","270","270","270","270","270"
"Winston County","280","270","270","270","270","270","270","270","269","269"
"PRIVATE PRISONS","5,972","5,486","5,480","5,475","5,465","5,471","5,468","5,468","5,478","5,482"
"Delta","972","955","955","956","955","955","955","955","952","950"
"East Mississippi","1,500","1,354","1,352","1,349","1,348","1,356","1,356","1,356","1,354","1,355"
"Marshall County","1,000","981","979","979","978","981","978","978","983","983"
"Walnut Grove","1,500","1,221","1,220","1,218","1,213","1,209","1,209","1,209","1,220","1,220"
"Wilkinson County","1,000","975","974","973","971","970","970","970","969","974"
"RESTITUTION CENTERS","16","12","12","12","12","12","11","11","12","10"
"Greenwood","6","4","4","4","4","4","4","4","5","5"
"Hinds","6","4","4","4","4","4","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","8","6","6","9","76","76","76","19","8"
"TOTALS","24,148","22,707","22,687","22,651","22,663","22,671","22,655","22,651","22,645","22,676"
