"Location","Capacity","18-Jul-20","19-Jul-20","20-Jul-20","21-Jul-20","22-Jul-20","23-Jul-20","24-Jul-20","25-Jul-20","26-Jul-20","27-Jul-20","28-Jul-20","29-Jul-20","30-Jul-20","31-Jul-20","Avg Population"
"Mississippi State Penitentiary","3,560","2,029","2,029","2,029","2,030","2,033","2,036","2,040","2,038","2,038","2,030","2,026","2,033","2,034","2,033","2,031"
"Central Mississippi Correctional Facility","4,178","3,078","3,077","3,085","3,089","3,083","3,096","3,094","3,092","3,091","3,083","3,068","3,075","3,061","3,063","3063"
"Youthful Offender Unit","58","19","19","19","19","19","17","17","17","17","17","17","17","17","17","18"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,515","2,515","2,513","2,514","2,513","2,509","2,505","2,505","2,505","2,499","2,484","2,471","2,468","2,464","2503"
"County Jails","1,793","1,532","1,532","1,524","1,571","1,582","1,622","1,635","1,635","1,635","1,660","1,672","1,662","1,678","1,733","1573"
"COMMUNITY WORK CENTERS","1,270","492","492","490","489","507","507","506","506","506","497","495","502","502","494","509"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","113","113","113","113","113","115","115","115","115","114","114","113","113","113","126"
"Delta TVC","324","24","24","23","23","41","41","41","41","41","40","40","52","54","54","32"
"Forrest Satellite Facility","96","37","37","37","37","37","37","37","37","37","37","37","37","37","37","38"
"George Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","49","49","49","49","48","48","47","47","47","47","46","46","46","43","50"
"Noxubee Satellite Facility","58","53","53","53","52","52","52","52","52","52","49","49","49","49","49","47"
"Pike Satellite Facility","93","63","63","62","62","62","60","60","60","60","60","60","59","59","58","62"
"Quitman Satellite Facility","93","44","44","44","44","45","45","45","45","45","44","43","42","41","41","44"
"Rankin Satellite Facility","178","106","106","106","106","106","106","106","106","106","103","103","101","100","98","107"
"Rankin Satellite Facility (RRP)","28","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3"
"Flowood TVC","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,135","4,134","4,130","4,125","4,125","4,120","4,116","4,116","4,115","4,099","4,087","4,076","4,070","4,062","4140"
"Alcorn County","300","290","290","289","289","289","287","287","287","287","287","287","287","287","287","290"
"Bolivar County","369","273","272","272","272","272","272","272","272","272","272","272","271","271","271","274"
"Carroll County","280","249","249","248","248","247","247","247","247","247","246","245","244","243","241","247"
"Chickasaw County","310","299","299","300","300","300","299","299","299","299","298","297","297","297","297","300"
"George County","342","336","336","336","333","334","334","333","333","333","332","331","331","331","331","332"
"Holmes County","280","276","276","276","276","276","276","275","275","275","275","275","274","274","274","277"
"Issaquena County","297","322","322","322","322","322","321","320","320","320","316","314","312","312","312","318"
"Jefferson County","280","275","275","275","275","275","275","275","275","275","274","274","274","273","273","273"
"Kemper County","355","309","309","309","309","309","309","308","308","308","305","302","301","301","301","318"
"Leake County","280","257","257","257","257","257","257","257","257","257","256","255","253","252","252","261"
"Marion County","280","352","352","351","349","349","348","348","348","348","346","346","345","344","341","351"
"Stone County","326","277","277","277","277","277","277","277","277","277","277","275","275","275","275","276"
"Washington County","300","117","117","117","117","117","117","117","117","117","116","116","116","116","115","118"
"Winston County","280","212","212","212","212","212","212","212","212","211","210","210","208","207","206","213"
"Yazoo County","300","291","291","289","289","289","289","289","289","289","289","288","288","287","286","292"
"PRIVATE PRISONS","4,500","3,563","3,562","3,561","3,557","3,557","3,554","3,548","3,548","3,545","3,539","3,533","3,534","3,526","3,529","3774"
"Tallahatchie County","1,000","561","561","561","561","561","561","557","557","557","557","557","560","555","558","781"
"East Mississippi","1,500","1,184","1,184","1,184","1,182","1,182","1,180","1,180","1,180","1,177","1,172","1,167","1,167","1,165","1,166","1178"
"Marshall County","1,000","950","950","950","950","950","950","949","949","949","949","949","947","946","946","951"
"Walnut Grove","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","868","867","866","864","864","863","862","862","862","861","860","860","860","859","864"
"RESTITUTION CENTERS","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pascagoula","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TRANSITIONAL HOUSING","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Noxubee","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
