"Location","Capacity","1-Jul-20","2-Jul-20","3-Jul-20","4-Jul-20","5-Jul-20","6-Jul-20","7-Jul-20","8-Jul-20","9-Jul-20","10-Jul-20","11-Jul-20","12-Jul-20","13-Jul-20","14-Jul-20","15-Jul-20","16-Jul-20","17-Jul-20"
"Mississippi State Penitentiary","3,560","2,027","2,027","2,027","2,027","2,024","2,021","2,017","2,019","2,015","2,042","2,042","2,042","2,039","2,033","2,033","2,033","2,033"
"Central Mississippi Correctional Facility","4,178","3,101","3,099","3,101","3,101","3,101","3,094","3,041","3,006","2,990","2,974","2,972","2,972","2,971","3,024","3,090","3,087","3,079"
"Youthful Offender Unit","58","19","19","19","19","19","18","18","18","18","18","18","18","18","18","19","19","18"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,491","2,485","2,480","2,479","2,477","2,473","2,467","2,518","2,512","2,540","2,537","2,537","2,536","2,519","2,517","2,518","2,517"
"County Jails","1,793","1,560","1,573","1,574","1,574","1,574","1,571","1,527","1,490","1,488","1,525","1,525","1,525","1,545","1,521","1,485","1,504","1,532"
"COMMUNITY WORK CENTERS","1,270","540","534","534","534","534","532","529","527","524","516","515","515","511","514","470","480","492"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","139","145","145","145","145","137","136","136","135","144","144","144","134","137","130","103","113"
"Delta TVC","324","27","27","27","27","27","28","28","27","27","26","26","26","25","25","25","25","24"
"Forrest Satellite Facility","96","41","41","41","41","41","40","40","39","38","37","37","37","37","37","37","37","37"
"George Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","59","51","51","51","51","59","58","58","58","48","48","48","55","55","55","46","49"
"Noxubee Satellite Facility","58","44","44","44","44","44","43","42","42","42","42","42","42","42","42","42","53","53"
"Pike Satellite Facility","93","67","67","67","67","67","67","67","67","66","61","60","60","60","60","59","63","63"
"Quitman Satellite Facility","93","46","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44"
"Rankin Satellite Facility","178","114","113","113","113","113","111","111","111","111","111","111","111","111","111","75","106","106"
"Rankin Satellite Facility (RRP)","28","3","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3"
"Flowood TVC","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,148","4,142","4,139","4,136","4,136","4,130","4,205","4,208","4,235","4,182","4,182","4,182","4,181","4,166","4,160","4,155","4,139"
"Alcorn County","300","296","296","296","295","295","295","295","293","293","290","290","290","290","290","290","290","290"
"Bolivar County","369","281","281","281","281","281","278","277","276","276","274","274","274","274","274","274","273","273"
"Carroll County","280","235","235","235","235","235","235","235","248","259","259","258","258","258","258","258","256","250"
"Chickasaw County","310","300","300","300","300","300","300","299","300","304","302","302","302","302","301","300","300","299"
"George County","342","320","319","319","319","319","319","340","339","339","339","340","340","340","339","338","337","335"
"Holmes County","280","280","280","280","280","280","279","278","278","278","277","277","277","277","278","278","278","277"
"Issaquena County","297","313","311","311","311","311","311","311","310","324","324","324","324","323","323","323","323","322"
"Jefferson County","280","263","262","262","262","262","261","279","278","277","275","275","275","275","276","275","275","275"
"Kemper County","355","333","333","333","333","333","333","349","345","345","324","324","324","324","312","311","311","309"
"Leake County","280","266","266","264","263","263","263","279","278","278","260","260","260","260","260","260","260","258"
"Marion County","280","357","356","355","355","355","355","354","354","354","354","354","354","354","353","353","353","352"
"Stone County","326","270","270","270","270","270","270","280","280","279","278","278","278","278","278","278","277","277"
"Washington County","300","121","121","121","121","121","121","121","121","119","119","119","119","119","117","117","117","117"
"Winston County","280","217","217","217","217","217","216","216","216","216","213","213","213","213","213","212","212","212"
"Yazoo County","300","296","295","295","294","294","294","292","292","294","294","294","294","294","294","293","293","293"
"PRIVATE PRISONS","4,500","3,562","3,545","3,553","3,554","3,554","3,553","3,551","3,558","3,571","3,570","3,569","3,569","3,569","3,565","3,563","3,566","3,563"
"Tallahatchie County","1,000","565","555","565","565","565","565","565","565","565","565","564","564","564","563","561","563","561"
"East Mississippi","1,500","1,179","1,174","1,173","1,174","1,174","1,173","1,173","1,171","1,184","1,184","1,184","1,184","1,184","1,182","1,184","1,184","1,184"
"Marshall County","1,000","955","954","954","954","954","954","953","953","953","952","952","952","952","951","950","950","950"
"Walnut Grove","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","863","862","861","861","861","861","860","869","869","869","869","869","869","869","868","869","868"
"RESTITUTION CENTERS","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pascagoula","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TRANSITIONAL HOUSING","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Noxubee","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rankin/Flowood","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","23,152","17,448","17,424","17,427","17,424","17,419","17,392","17,355","17,344","17,353","17,367","17,360","17,360","17,370","17,360","17,337","17,362","17,373"
"","","1-Jul-20","2-Jul-20","3-Jul-20","4-Jul-20","5-Jul-20","6-Jul-20","7-Jul-20","8-Jul-20","9-Jul-20","10-Jul-20","11-Jul-20","12-Jul-20","13-Jul-20","14-Jul-20","15-Jul-20","16-Jul-20","17-Jul-20"
