"Location","Capacity","1-Jun-20","2-Jun-20","3-Jun-20","4-Jun-20","5-Jun-20","6-Jun-20","7-Jun-20","8-Jun-20","9-Jun-20","10-Jun-20","11-Jun-20","12-Jun-20","13-Jun-20","14-Jun-20","15-Jun-20","16-Jun-20","17-Jun-20"
"Mississippi State Penitentiary","2,678","2,007","2,005","2,007","2,004","2,004","2,004","2,004","2,001","1,996","1,993","1,994","2,004","2,005","2,005","2,006","2,000","2,004"
"Central Mississippi Correctional Facility","4,178","3,309","3,288","3,268","3,267","3,259","3,258","3,259","3,260","3,214","3,207","3,204","3,111","3,109","3,106","3,037","3,014","3,034"
"Youthful Offender Unit","58","18","18","17","18","18","18","18","18","18","18","18","16","16","16","16","16","17"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,456","2,451","2,446","2,445","2,443","2,442","2,442","2,440","2,438","2,433","2,430","2,385","2,385","2,385","2,383","2,409","2,431"
"County Jails","1,866","1,555","1,556","1,576","1,594","1,625","1,625","1,625","1,621","1,626","1,636","1,670","1,681","1,681","1,681","1,712","1,682","1,634"
"COMMUNITY WORK CENTERS","1,372","559","558","573","573","525","525","515","514","563","561","559","557","557","557","553","550","553"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","88","87","87","100","100","100","100","100","143","143","142","150","150","150","142","142","142"
"Delta TVC","324","3","3","18","18","18","18","18","18","18","18","18","18","18","18","18","18","23"
"Forrest Satellite Facility","96","72","72","72","47","47","47","47","47","47","46","46","46","46","46","46","47","47"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","51","51","51","51","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","51","51","51","51","44","44","44","43","50","50","50","42","42","42","50","50","50"
"Noxubee Satellite Facility","58","36","36","36","48","58","58","48","48","48","48","48","47","47","47","47","47","46"
"Pike Satellite Facility","93","73","73","73","73","73","73","73","73","73","73","72","72","72","72","72","72","72"
"Quitman Satellite Facility","93","49","49","49","49","49","49","49","49","49","49","49","49","49","49","48","47","47"
"Rankin Satellite Facility","178","127","127","127","127","127","127","127","127","125","124","124","124","124","124","123","121","120"
"Rankin Satellite Facility (RRP)","28","9","9","9","9","9","9","9","9","10","10","10","9","9","9","7","6","6"
"Flowood TVC","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,610","3,987","3,984","3,978","3,977","3,976","3,973","3,973","3,967","3,965","3,954","3,950","4,099","4,610","4,100","4,177","4,218","4,222"
"Alcorn County","300","286","286","285","285","285","285","285","285","285","285","285","297","300","297","296","296","296"
"Bolivar County","294","266","266","265","265","265","264","264","264","264","263","261","271","294","271","271","282","279"
"Carroll County","280","247","246","246","245","245","244","244","244","244","244","244","244","280","244","244","243","243"
"Chickasaw County","310","295","294","294","294","294","294","294","294","294","293","292","308","310","308","308","308","308"
"George County","342","311","311","310","310","310","310","310","310","310","310","310","331","342","332","331","330","328"
"Holmes County","280","257","257","257","257","257","257","257","257","257","257","257","257","280","257","280","280","280"
"Issaquena County","328","286","286","286","286","286","286","286","285","284","284","284","305","328","305","304","304","318"
"Jefferson County","280","254","254","254","254","254","253","253","253","253","252","252","277","280","277","277","276","275"
"Kemper County","355","294","294","294","294","294","294","294","293","293","288","287","308","355","308","330","348","347"
"Leake County","280","234","233","232","232","232","232","232","231","231","231","231","252","280","252","274","274","273"
"Marion County","401","368","368","366","366","365","365","365","364","364","364","364","362","401","362","362","362","362"
"Stone County","280","261","261","261","261","261","261","261","261","261","260","260","277","280","277","277","277","277"
"Washington County","300","130","130","130","130","130","130","130","129","129","129","128","127","300","127","126","126","126"
"Winston County","280","229","229","229","229","229","229","229","229","228","227","227","215","280","215","213","213","212"
"Yazoo County","300","269","269","269","269","269","269","269","268","268","267","268","268","300","268","284","299","298"
"PRIVATE PRISONS","4,322","3,760","3,757","3,751","3,750","3,747","3,747","3,747","3,744","3,742","3,742","3,738","3,738","3,695","3,694","3,669","3,650","3,635"
"Tallahatchie County","1,000","749","748","744","744","743","743","743","743","743","743","740","740","698","698","675","664","634"
"East Mississippi","1,373","1,201","1,199","1,198","1,198","1,197","1,197","1,197","1,195","1,194","1,194","1,194","1,194","1,196","1,195","1,195","1,192","1,192"
"Marshall County","1,000","968","968","967","966","965","965","965","965","964","964","964","964","963","963","962","960","960"
"Walnut Grove","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","949","842","842","842","842","842","842","842","841","841","841","840","840","838","838","837","834","849"
"RESTITUTION CENTERS","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pascagoula","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TRANSITIONAL HOUSING","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Noxubee","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rankin/Flowood","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","22,298","17,651","17,617","17,616","17,628","17,597","17,592","17,583","17,565","17,562","17,544","17,563","17,591","18,058","17,544","17,553","17,539","17,530"
"","","1-Jun-20","2-Jun-20","3-Jun-20","4-Jun-20","5-Jun-20","6-Jun-20","7-Jun-20","8-Jun-20","9-Jun-20","10-Jun-20","11-Jun-20","12-Jun-20","13-Jun-20","14-Jun-20","15-Jun-20","16-Jun-20","17-Jun-20"
