"Location","Capacity","1-May-18","2-May-18","3-May-18","4-May-18","5-May-18","6-May-18","7-May-18","8-May-18","9-May-18","10-May-18","11-May-18","12-May-18","13-May-18","14-May-18","15-May-18","16-May-18","17-May-18"
"Mississippi State Penitentiary","3,590","3,399","3,389","3,395","3,393","3,392","3,392","3,386","3,393","3,385","3,376","3,383","3,380","3,379","3,386","3,377","3,384","3,379"
"Central Mississippi Correctional Facility","3,920","3,784","3,799","3,787","3,772","3,750","3,768","3,803","3,770","3,784","3,796","3,753","3,752","3,751","3,797","3,786","3,791","3,777"
"Youthful Offender Unit","58","32","32","32","31","31","31","31","32","32","31","31","31","31","31","31","31","31"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,026","3,014","3,027","3,045","3,044","3,043","3,036","3,048","3,045","3,055","3,055","3,055","3,053","3,058","3,047","3,042","3,055"
"County Jails","1,781","1,208","1,253","1,179","1,233","1,233","1,233","1,236","1,201","1,169","1,163","1,171","1,171","1,171","1,172","1,161","1,173","1,182"
"COMMUNITY WORK CENTERS","1,488","843","839","855","877","875","870","873","875","898","909","925","925","922","953","966","973","968"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","0","62","62","63","63","63","63","63","63","63","63","67","67","67","67","74","74","74"
"Delta TVC","300","120","120","138","159","157","152","158","157","171","174","191","191","188","204","203","213","212"
"Forrest Satellite Facility","96","63","63","63","56","56","56","56","56","56","56","56","56","56","62","62","62","61"
"George Satellite Facility","102","67","66","64","64","64","64","63","63","63","66","66","66","66","67","67","67","67"
"Harrison Satellite Facility","102","57","57","57","56","56","56","57","56","56","55","57","57","57","57","57","55","55"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","57","59","59","65","65","65","65","68","68","68","68","68","68","67","66","68","68"
"Noxubee Satellite Facility","58","46","45","45","45","45","45","45","44","45","47","45","45","45","48","48","48","47"
"Pike Satellite Facility","93","77","78","78","78","78","78","78","78","80","80","79","79","79","80","80","80","81"
"Quitman Satellite Facility","93","54","54","53","53","53","53","53","51","52","52","52","52","52","52","52","52","50"
"Rankin Satellite Facility","178","146","145","145","146","146","146","144","150","150","150","144","144","144","149","154","154","154"
"Rankin RID","28","23","23","23","26","26","26","24","24","27","27","27","27","27","27","28","28","28"
"Flowood TVC","50","23","23","23","22","22","22","23","21","21","21","24","24","24","24","24","22","21"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","48","44","44","44","44","44","44","44","46","50","49","49","49","49","51","50","50"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,758","3,756","3,766","3,735","3,728","3,729","3,722","3,718","3,711","3,710","3,714","3,714","3,714","3,701","3,693","3,690","3,696"
"Alcorn County","300","257","246","245","245","245","245","244","244","241","241","241","241","241","241","241","241","241"
"Bolivar County","369","293","293","293","290","290","290","289","293","292","294","293","293","293","293","291","294","294"
"Carroll County","280","252","266","264","263","263","263","262","260","266","266","266","266","265","266","266","265","268"
"Chickasaw County","310","274","273","270","269","269","269","268","268","267","267","265","265","265","265","265","265","265"
"George County","342","239","239","217","215","214","214","214","213","213","213","213","213","213","213","213","212","211"
"Holmes County","280","236","226","225","224","224","224","224","223","222","222","222","222","222","221","221","218","217"
"Issaquena County","274","249","259","267","267","267","267","266","267","268","268","268","268","268","268","267","267","267"
"Jefferson County","280","263","263","270","270","268","268","268","267","265","265","269","269","269","268","266","266","269"
"Kemper County","355","259","258","254","255","255","255","254","254","253","252","248","248","249","248","246","246","246"
"Leake County","280","240","239","258","257","256","256","256","256","257","257","265","265","265","262","261","261","263"
"Marion County","280","268","268","267","267","267","267","267","266","266","266","265","265","265","264","264","264","263"
"Stone County","326","248","247","246","224","222","223","223","222","221","220","220","220","220","219","219","219","219"
"Washington County","300","188","188","186","186","185","185","185","186","186","186","185","185","185","184","184","184","184"
"Winston County","280","249","248","260","260","260","260","260","257","254","253","255","255","255","252","252","252","256"
"Yazoo County","300","243","243","244","243","243","243","242","242","240","240","239","239","239","237","237","236","233"
"PRIVATE PRISONS","5,972","3,206","3,216","3,211","3,212","3,209","3,209","3,206","3,213","3,221","3,223","3,221","3,222","3,220","3,226","3,219","3,234","3,258"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,290","1,294","1,289","1,289","1,288","1,288","1,286","1,295","1,292","1,295","1,291","1,292","1,291","1,295","1,293","1,307","1,323"
"Marshall County","1,000","994","1,000","1,000","998","998","998","997","997","997","997","999","999","999","999","996","996","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","922","922","922","925","923","923","923","921","932","931","931","931","930","932","930","931","936"
"RESTITUTION CENTERS","16","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Greenwood","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","24","24","24","24","24","24","24","32","32","32","31","31","31","31","31","27","27"
