"Location","Capacity","1-Apr-18","2-Apr-18","3-Apr-18","4-Apr-18","5-Apr-18","6-Apr-18","7-Apr-18","8-Apr-18","9-Apr-18","10-Apr-18","11-Apr-18","12-Apr-18","13-Apr-18","14-Apr-18","15-Apr-18","16-Apr-18","17-Apr-18"
"Mississippi State Penitentiary","3,590","3,381","3,392","3,389","3,404","3,402","3,403","3,403","3,402","3,387","3,406","3,405","3,404","3,408","3,406","3,404","3,398","3,419"
"Central Mississippi Correctional Facility","3,920","3,575","3,599","3,648","3,623","3,369","3,674","3,673","3,671","3,714","3,754","3,754","3,778","3,703","3,697","3,697","3,704","3,739"
"Youthful Offender Unit","58","31","31","31","32","32","32","32","32","32","33","33","33","33","33","33","33","32"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,652","2,659","2,660","2,664","2,657","2,661","2,661","2,660","2,660","2,665","2,714","2,765","2,822","2,819","2,819","2,852","2,901"
"County Jails","1,781","1,274","1,265","1,257","1,266","1,229","1,211","1,211","1,211","1,217","1,207","1,234","1,212","1,295","1,295","1,295","1,280","1,281"
"COMMUNITY WORK CENTERS","1,488","746","746","775","789","808","808","809","807","810","799","793","794","814","814","814","824","818"
"Alcorn Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","0","0","53","66","19","68","68","68","68","68","67","67","65","64","64","64","63","63"
"Delta TVC","300","0","0","19","84","82","84","84","84","84","78","76","75","99","99","99","98","97"
"Forrest Satellite Facility","96","61","61","61","59","59","59","59","59","59","59","58","58","57","57","57","58","58"
"George Satellite Facility","102","67","68","67","67","68","67","67","67","68","68","69","69","69","69","69","69","69"
"Harrison Satellite Facility","102","56","56","56","55","56","54","55","54","56","55","55","55","55","55","55","55","54"
"Jackson Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC (closed)","82","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support (closed)","20","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","60","59","59","59","59","58","58","58","59","59","60","62","60","60","60","61","61"
"Noxubee Satellite Facility","58","50","50","50","50","50","50","50","50","49","49","49","47","46","46","46","47","46"
"Pike Satellite Facility","93","80","80","80","80","80","80","80","80","80","80","76","76","74","74","74","81","81"
"Quitman Satellite Facility","93","45","45","45","46","46","44","44","44","45","44","45","50","50","50","50","50","49"
"Rankin Satellite Facility","178","142","142","142","142","141","140","140","140","141","140","139","139","142","142","142","146","146"
"Rankin RID","28","28","28","27","26","26","26","26","26","26","26","26","25","25","25","25","21","21"
"Flowood TVC","50","14","14","14","13","27","27","27","27","27","26","25","25","25","25","25","25","23"
"Simpson TVC (closed)","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support (closed)","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","60","43","43","43","43","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","46","47","46","46","46","51","51","50","48","48","48","48","48","48","48","50","50"
