"Location","Capacity","18-Mar-20","19-Mar-20","20-Mar-20","21-Mar-20","22-Mar-20","23-Mar-20","24-Mar-20","25-Mar-20","26-Mar-20","27-Mar-20","28-Mar-20","29-Mar-20","30-Mar-20","31-Mar-20","Avg Population"
"Mississippi State Penitentiary","3,560","2,131","2,125","2,122","2,122","2,122","2,120","2,119","2,111","2,108","2,107","2,107","2,106","2,104","2,100","2,135"
"Central Mississippi Correctional Facility","4,094","3,744","3,728","3,724","3,723","3,723","3,721","3,715","3,701","3,700","3,701","3,698","3,697","3,691","3,665","3718"
"Youthful Offender Unit","58","22","22","22","22","22","22","22","22","22","22","21","20","20","20","23"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,653","2,647","2,647","2,644","2,643","2,637","2,632","2,627","2,626","2,624","2,624","2,624","2,621","2,615","2644"
"County Jails","1,793","1,232","1,269","1,275","1,207","1,275","1,287","1,296","1,309","1,323","1,346","1,346","1,246","1,346","1,350","1262"
"COMMUNITY WORK CENTERS","1,372","772","765","759","757","756","752","748","742","737","735","734","732","726","723","771"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","63","63","63","63","63","62","62","62","62","62","62","62","62","62","62"
"Delta TVC","324","164","157","151","151","150","149","149","148","146","146","145","143","139","139","159"
"Forrest Satellite Facility","96","55","88","88","88","88","87","87","84","83","83","83","83","82","82","68"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","33","33","33","33","33","33","33","33","32","32","32","32","32","31","34"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","55","55","55","55","55","55","54","54","54","54","54","54","54","54","57"
"Noxubee Satellite Facility","58","41","41","41","41","41","41","41","41","41","41","41","41","40","39","41"
"Pike Satellite Facility","93","75","92","92","92","92","92","91","91","91","91","91","91","91","91","83"
"Quitman Satellite Facility","93","59","59","59","59","59","59","57","56","56","55","55","55","55","55","61"
"Rankin Satellite Facility","178","147","147","147","147","147","146","146","145","144","143","143","143","143","143","146"
"Rankin SF (RRD)","28","16","16","16","16","16","16","16","16","16","16","16","16","16","15","17"
"Flowood TVC","50","14","14","14","12","12","12","12","12","12","12","12","12","12","12","14"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","50","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,329","4,322","4,313","4,311","4,308","4,305","4,301","4,292","4,281","4,272","4,270","4,270","4,268","4,257","4325"
