"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","64","47","49","37","31","37"
"Reporting Instruction","51","81","72","85","72","78"
"Investigation","126","129","155","114","112","105"
"Acceptance","93","95","115","154","111","117"
"Rejection","52","46","31","52","49","53"
"Cancellation","4","5","3","4","6","7"
"Pending","126","129","155","114","112","105"
"Progress Report","169","64","37","72","45","47"
"Violation","57","65","41","41","41","39"
"Probation Warrant","3","2","1","5","3","3"
"Parole Warrant","7","2","1","2","6","2"
"Closure","84","86","63","93","77","72"
"Discharge","24","13","4","35","28","21"
"New File","105","108","87","79","58","75"
"Updates","531","551","456","533","465","459"
"File Deletion","1","1","1","0","0","0"
"Inquiries","1,371","1,863","1,980","2,061","1,285","1,323"
"TOTAL","2,868","3,287","3,251","3,481","2,501","2,543"
