"COUNTY","JUN-07","JUN-06","JUN-05","JUN-04","JUN-03","JUN-02"
"Adams","10","2","4","1","1","0"
"Alcorn","1","5","5","8","5","11"
"Amite","0","1","1","0","2","0"
"Attala","5","0","2","1","3","4"
"Benton","2","0","0","0","0","0"
"Bolivar","3","1","5","8","7","8"
"Calhoun","3","0","4","0","3","13"
"Carroll","2","2","3","5","2","4"
"Chickasaw","3","3","3","6","6","5"
"Choctaw","1","0","1","2","1","0"
"Claiborne","0","2","0","0","1","6"
"Clarke","0","0","1","0","0","1"
"Clay","8","13","8","6","5","1"
"Coahoma","2","0","1","3","3","14"
"Copiah","5","3","4","4","11","5"
"Covington","0","0","2","3","1","2"
"DeSoto","6","4","5","9","17","14"
"Forrest","3","5","9","6","12","9"
"Franklin","0","0","2","0","1","0"
"George","3","1","3","7","10","2"
"Greene","2","1","0","0","0","0"
"Grenada","5","2","2","3","1","2"
"Hancock","2","4","7","1","2","7"
"Harrison","13","1","23","29","28","27"
"Hinds","11","9","16","11","21","16"
"Holmes","1","0","2","2","3","3"
"Humphreys","1","0","1","0","1","4"
"Issaquena","0","0","1","0","1","1"
"Itawamba","0","0","2","1","1","0"
"Jackson","3","4","7","14","11","7"
"Jasper","0","2","0","0","1","0"
"Jefferson","0","0","1","0","1","3"
"Jeff Davis","1","0","0","1","0","0"
"Jones","6","2","8","10","11","8"
"Kemper","0","0","0","0","1","2"
"Lafayette","1","3","5","6","4","10"
"Lamar","1","1","6","4","0","2"
