"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","38","30","35","38","38","42"
"Reporting Instruction","92","87","81","78","82","86"
"Investigation","38","41","75","57","58","52"
"Acceptance","57","57","54","58","60","58"
"Rejection","25","15","10","11","14","20"
"Cancellation","7","5","1","2","1","3"
"Pending","38","41","75","57","58","52"
"Progress Report","29","35","29","33","36","42"
"Violation","33","37","36","39","42","35"
"Probation Warrant","2","1","2","2","3","2"
"Parole Warrant","0","0","0","0","0","0"
"Closure","24","29","23","28","30","25"
"Discharge","5","7","10","13","15","12"
"New File","0","0","0","0","0","0"
"Updates","197","215","227","242","257","267"
"File Deletion","1","2","1","1","0","0"
"Inquiries","703 
963","","989","993","1,012","1,032"
"TOTAL","1,289 
1,565","","1,648","1,652","1,706","1,728"
