"REGIONS 
I 
II 
III 
TOTAL","","","",""
"Probation","2844","2,567","2,656","8,067"
"Parole","645","365","716","1,726"
"Compact Probation","437","316","517","1,270"
"Compact Parole","175","100","171","446"
"Drug Court","146","238","301","685"
"Suspension","1","0","4","5"
"Earned Release Supervision","992","434","784","2,210"
"Medical Release","2","2","2","6"
"Non-Adjudicated Cases","578","492","1,147","2,217"
"Diversion Program","0","55","157","212"
"Post Release Supervision","1,962","1,283","2,427","5,672"
"ISP-Court Sentenced","422","159","342","923"
"ISP-Prison Releases","78","46","75","199"
"TOTAL CASELOAD","8,282","6,057","9,299","23,638"
"Restitution Center","72","107","74","253"
"Community Work Center","475","663","591","1,729"
"RID Program","N/A","26","N/A","26"
