"COUNTY","JUN-07","JUN-06","JUN-05","JUN-04","JUN-03","JUN-02"
"Adams","18","16","33","6","19","19"
"Alcorn","21","25","46","25","25","24"
"Amite","9","9","22","28","12","11"
"Attala","3","2","2","5","11","9"
"Benton","3","1","1","1","3","6"
"Bolivar","18","15","15","27","31","43"
"Calhoun","16","4","5","2","9","20"
"Carroll","5","9","14","10","3","2"
"Chickasaw","22","28","17","36","18","17"
"Choctaw","0","2","2","1","5","5"
"Claiborne","6","11","1","1","4","5"
"Clarke","2","0","1","0","1","1"
"Clay","6","10","26","10","12","10"
"Coahoma","12","21","12","17","12","6"
"Copiah","16","18","8","17","12","19"
"Covington","6","0","1","7","4","3"
"DeSoto","21","26","27","16","15","17"
"Forrest","31","48","56","24","36","54"
"Franklin","6","0","7","0","14","5"
"George","14","28","19","30","29","28"
"Greene","6","0","6","0","7","7"
"Grenada","6","1","0","7","8","5"
"Hancock","22","26","14","5","11","10"
"Harrison","52","27","68","87","74","93"
"Hinds","16","24","50","56","48","53"
"Holmes","8","25","16","13","24","26"
"Humphreys","5","5","3","2","18","20"
"Issaquena","0","1","0","0","0","0"
"Itawamba","6","1","1","1","2","0"
"Jackson","23","14","38","39","61","81"
"Jasper","6","5","5","4","0","1"
"Jefferson","9","0","1","2","0","2"
"Jeff Davis","6","0","0","0","0","0"
"Jones","57","66","86","55","48","63"
"Kemper","2","0","1","2","0","4"
"Lafayette","28","40","13","18","16","16"
"Lamar","12","5","5","5","14","11"
