"COUNTY","JUN-07","JUN-06","JUN-05","JUN-04","JUN-03","JUN-02"
"Lauderdale","7","5","13","22","11","20"
"Lawrence","0","0","2","0","0","0"
"Leake","4","2","9","5","6","10"
"Lee","9","10","18","7","13","10"
"Leflore","0","1","3","5","4","5"
"Lincoln","0","3","2","3","6","4"
"Lowndes","14","10","15","17","12","14"
"Madison","6","1","8","7","6","2"
"Marion","2","1","10","7","5","6"
"Marshall","2","1","4","1","3","6"
"Monroe","8","11","11","8","9","4"
"Montgomery","0","1","2","0","5","3"
"Neshoba","3","8","8","17","10","9"
"Newton","3","2","7","8","5","5"
"Noxubee","3","0","3","0","0","3"
"Oktibbeha","4","9","7","15","2","5"
"Panola","2","3","4","11","15","7"
"Pearl River","0","1","7","5","8","9"
"Perry","0","0","0","0","0","0"
"Pike","2","2","7","9","3","1"
"Pontotoc","6","12","8","7","7","9"
"Prentiss","4","1","4","3","7","7"
"Quitman","0","0","1","1","0","1"
"Rankin","8","12","15","27","21","19"
"Scott","4","1","10","9","5","4"
"Sharkey","0","0","1","0","2","1"
"Simpson","0","0","3","1","6","5"
"Smith","1","2","3","3","1","1"
"Stone","1","0","3","0","1","3"
"Sunflower","2","3","8","2","2","3"
"Tallahatchie","6","3","2","2","1","3"
"Tate","2","0","1","1","7","2"
"Tippah","2","0","3","3","3","2"
"Tishomingo","1","0","1","3","0","1"
"Tunica","0","0","0","0","0","0"
"Union","4","5","6","6","4","6"
"Walthall","0","0","1","1","1","0"
