"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","52","54","17","17","28","32"
"Reporting Instruction","50","87","62","76","80","84"
"Investigation","34","80","78","67","39","34"
"Acceptance","51","58","34","34","46","52"
"Rejection","11","9","13","4","19","23"
"Cancellation","1","3","2","2","2","3"
"Pending","34","80","78","67","39","34"
"Progress Report","56","25","32","20","20","23"
"Violation","49","42","24","32","27","29"
"Probation Warrant","3","9","3","5","7","4"
"Parole Warrant","3","4","0","0","0","0"
"Closure","51","56","38","29","34","29"
"Discharge","29","27","12","21","10","5"
"New File","0","0","1","1","0","0"
"Updates","258","326","179","171","172","187"
"File Deletion","0","2","0","1","1","1"
"Inquiries","802","976","969","870","671","693"
"TOTAL","1,484","1,838","1,542","1,417","1,195","1,233"
