"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","43","40","38","36","42","50"
"Reporting Instruction","83","87","87","932","98","95"
"Investigation","115","111","117","123","128","137"
"Acceptance","129","92","98","104","108","122"
"Rejection","69","28","8","13","23","48"
"Cancellation","7","0","0","3","5","5"
"Pending","115","111","117","123","128","137"
"Progress Report","50","49","46","51","58","52"
"Violation","33","37","36","42","47","42"
"Probation Warrant","5","3","3","5","3","5"
"Parole Warrant","3","3","2","2","2","2"
"Closure","57","63","54","51","58","51"
"Discharge","18","11","13","16","21","18"
"New File","96","93","89","87","98","117"
"Updates","523","531","543","537","542","557"
"File Deletion","2","1","1","2","3","2"
"Inquiries","1,421","1,409","1,442","1,437","1,442","1,468"
"TOTAL","2,769","2,669","2,694","3,564","2,806","2,908"
