"FUND
PROGRAM
A1
A2
B
SALARIES
TRAVEL
CONTRACTUAL
NAME","","","","",""
"","","","","",""
"2551","SUPPORT-GENERAL","$103,628,491","$381,044","$19,995,327",""
"3551","SUPPORT-SPECIAL","$2,534,385","$9,834","$459,351",""
"3547","SUPPORT- Victim's Notification","$0","$0","$693,350",""
"2555","PRIVATE PRISONS- OPERATING","$0","$0","$69,524,407",""
"2555","PRIVATE PRISONS- CAPITAL","$0","$0","$0",""
"3564","PRIVATE PRISONS- (deficits)","$0","$0","$0",""
"2556","REGIONAL PRISONS","$0","$0","$45,208,829",""
"3562","REGIONAL PRISONS (deficit)","$0","$0","$0",""
"3565","TRAINING","$200,000","$58,203","$159,099",""
"3566","COMM. SERVICES","$11,030,492","$33,928","$2,162,395",""
"3557","CONFISCATED FUNDS","$0","$0","$0",""
"3561","VOC. ED. EQUIPMENT","$0","$0","$0",""
"3552","AG ENTERPRISES-SPECIAL","$452,777","$2,078","$247,671",""
"3549","SALVAGE","$0","$0","$69,671",""
"2553","PAROLE BOARD","$638,088","$27,021","$51,720",""
"3548","PAROLE BOARD (deficit)","$0","$0","$0",""
"2554","MEDICAL SERVICES","$239,335","$0","$62,351,745",""
"3553","MEDICAL SERVICES (deficit)","$0","$0","$0",""
"2557","LOCAL CONFINEMENT","$0","$0","$12,504,285",""
"3559","LOCAL CONFINEMENT (deficit)","$0","$0","$0",""
"355A","Cap Exp fund-Medical","$0","$0","$5,154,405",""
"355B","Cap Exp fund-Regionals","$0","$0","$2,460,566",""
"355C","Cap Exp fund-Local","$0","$0","$2,993,890",""
"3567","Cap Exp fund-Support","$1,613,000","$56,655","$4,704,157",""
