"","C
D1
D2/D3
E
TOTAL
COMMODITIES
CAP OUTLAY-OTHER
EQUIPMENT/VEH
SUBSIDIES","","","",""
"","","","","",""
"","$17,114,496","$120,850","$1,790,104","$150,000","$143,180,312"
"","$671,411","$0","$941,441","$585,967","$5,202,389"
"","$0","$0","$0","$0","$693,350"
"","$0","$0","$0","$0","$69,524,407"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$45,208,829"
"","$0","$0","$0","$0","$0"
"","$46,219","$0","$0","$0","$463,521"
"","$1,372,753","$0","$92,090","$0","$14,691,658"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$0"
"","$1,046,399","$112,810","$220,900","$22,582","$2,105,217"
"","$38,588","$96,097","$0","$0","$204,356"
"","$3,581","$0","$0","$0","$720,410"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$782,156","$63,373,236"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$12,504,285"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$5,154,405"
"","$0","$0","$0","$0","$2,460,566"
"","$0","$0","$0","$0","$2,993,890"
"","$ 856,135","$0","$0","$3,300,000","$10,529,947"
