"County","Offenders","Percent"
"ADAMS","4","0.48%"
"ALCORN","10","1.19%"
"AMITE","2","0.24%"
"ATTALA","6","0.71%"
"BOLIVAR","4","0.48%"
"CALHOUN","6","0.71%"
"CARROLL","1","0.12%"
"CHICKASAW","4","0.48%"
"CHOCTAW","3","0.36%"
"CLAIBORN","2","0.24%"
"CLARKE","5","0.59%"
"CLAY","10","1.19%"
"COAHOMA","7","0.83%"
"COPIAH","7","0.83%"
"COVINGTON","1","0.12%"
"+ DESOTO","37","4.39%"
"FORREST","21","2.49%"
"FRANKLIN","1","0.12%"
"GEORGE","6","0.71%"
"GREENE","4","0.48%"
"GRENADA","9","1.07%"
"HANCOCK","9","1.07%"
"+ HARRISON","83","9.86%"
"+ HINDS","33","3.92%"
"HOLMES","3","0.36%"
"HUMPHREYS","1","0.12%"
"ITAWAMBA","7","0.83%"
"+ JACKSON","32","3.80%"
"JASPER","3","0.36%"
"JEFF","4","0.48%"
"JEFFERSON","2","0.24%"
"+ JONES","22","2.61%"
"KEMPER","6","0.71%"
"LAFAYETTE","15","1.78%"
"LAMAR","10","1.19%"
"+ LAUDERDALE","31","3.68%"
"LAWRENCE","4","0.48%"
"LEAKE","4","0.48%"
"+ LEE","24","2.85%"
"LEFLORE","5","0.59%"
"LINCOLN","10","1.19%"
"+ LOWNDES","45","5.34%"
"+ MADISON","36","4.28%"
"MARION","15","1.78%"
"MARSHALL","14","1.66%"
"MONROE","11","1.31%"
"MONTGOMERY","4","0.48%"
"NESHOBA","10","1.19%"
"NEWTON","5","0.59%"
"NOXUBEE","4","0.48%"
"OKTIBBEHA","14","1.66%"
"PANOLA","10","1.19%"
"PEARL","21","2.49%"
"PERRY","2","0.24%"
"PIKE","9","1.07%"
"PONTOTOC","14","1.66%"
"PRENTISS","11","1.31%"
"QUITMAN","1","0.12%"
"+ RANKIN","47","5.58%"
"SCOTT","6","0.71%"
"SHARKEY","1","0.12%"
"SMITH","4","0.48%"
"STONE","4","0.48%"
"SUNFLOWER","8","0.95%"
"TALLAHATCHIE","2","0.24%"
"TATE","7","0.83%"
"TIPPAH","6","0.71%"
"TISHOMINGO","4","0.48%"
"TUNICA","6","0.71%"
"UNAVAILABLE","4","0.48%"
"UNION","6","0.71%"
"WALTHALL","7","0.83%"
"WARREN","15","1.78%"
"WASHINGTON","13","1.54%"
"WAYNE","5","0.59%"
"WEBSTER","1","0.12%"
"WILKINSON","2","0.24%"
"WINSTON","5","0.59%"
"YALOBUSHA","3","0.36%"
"YAZOO","2","0.24%"
"TOTAL","842","100.00%"
