"OFFENSE","Black","White","Hispanic","Other","Total"
"CAPITAL RAPE                                                 1","","1","0","0","2"
"CHILD ENDANGERMENT                                          3","","4","0","0","7"
"CHILD MOLESTATION                                           2","","2","0","0","4"
"CHILD PORNOGRAPHY","","1","0","0","1"
"ENTICE CHILD FOR INDECENT PURPOSES","","1","0","0","1"
"EXPLOITATION/CHILD                                          2","","19","0","0","21"
"FONDLING                                                     5","","20","2","0","27"
"FONDLING A CHILD                                             4","","7","0","0","11"
"GRATIFICATION/LUST                                          10","","5","2","0","17"
"KIDNAP MINOR                                                1","","0","0","0","1"
"","RAPE                                                         17","4","0","0","21"
"SEX ASSAULT                                                  1","","1","0","0","2"
"SEX OFFENSE                                                  1","","0","0","0","1"
"SEXUAL BATTERY                                              41","","42","0","1","84"
"SEXUAL PENETRATION OF INCARCERATED 
OFFENDER BY LAW ENFORCEMENT","1","0","0","0","1"
"STATUTORY RAPE                                              45","","19","1","0","65"
"UNLAWFUL TOUCHING/CHILD                                     10","","20","2","0","32"
"UNNATURAL INTERCOURSE                                       1","","0","0","0","1"
"Total","145","146","7","1","299"
