"OFFENSE","Male","Female","Total","Percent"
"CAPITAL RAPE","2","0","2","0.63%"
"CHILD ENDANGERMENT                                           7","","7","14","4.44%"
"CHILD MOLESTATION","4","0","4","1.27%"
"CHILD PORNOGRAPHY","1","0","1","0.32%"
"ENTICE CHILD FOR INDECENT PURPOSES","1","0","1","0.32%"
"EXPLOITATION/CHILD","21","0","21","6.67%"
"FONDLING","27","1","28","8.89%"
"FONDLING A CHILD","11","0","11","3.49%"
"GRATIFICATION/LUST","17","0","17","5.40%"
"KIDNAP MINOR","1","0","1","0.32%"
"RAPE","21","0","21","6.67%"
"SEX ASSAULT","2","1","3","0.95%"
"SEX OFFENSE","1","0","1","0.32%"
"SEXUAL BATTERY","84","5","89","28.25%"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","1","0","1","0.32%"
"STATUTORY RAPE","65","2","67","21.27%"
"UNLAWFUL TOUCHING/CHILD                                     32","","0","32","10.16%"
"UNNATURAL INTERCOURSE                                        1","","0","1","0.32%"
"Total","299","16","315","100.00%"
