"County","Offenders","Percent"
"ADAMS","1","0.32%"
"ALCORN","3","0.95%"
"ATTALA","2","0.63%"
"BOLIVAR","2","0.63%"
"CALHOUN","3","0.95%"
"CHICKASAW","5","1.59%"
"CLAIBORN","2","0.63%"
"CLARKE","2","0.63%"
"COAHOMA","1","0.32%"
"COPIAH","5","1.59%"
"COVINGTON","1","0.32%"
"DESOTO","16","5.08%"
"FORREST","9","2.86%"
"GEORGE","1","0.32%"
"GREENE","2","0.63%"
"GRENADA","3","0.95%"
"HANCOCK","4","1.27%"
"HARRISON","19","6.03%"
"HINDS","27","8.57%"
"HOLMES","3","0.95%"
"HUMPHREYS","1","0.32%"
"ITAWAMBA","5","1.59%"
"JACKSON","15","4.76%"
"JASPER","1","0.32%"
"JONES","6","1.90%"
"LAFAYETTE","5","1.59%"
"LAMAR","4","1.27%"
"LAUDERDALE","8","2.54%"
"LAWRENCE","4","1.27%"
"LEAKE","1","0.32%"
"LEE","9","2.86%"
"LEFLORE","3","0.95%"
"LINCOLN","2","0.63%"
"LOWNDES","13","4.13%"
"MADISON","9","2.86%"
"MARION","7","2.22%"
"MARSHALL","3","0.95%"
"MONROE","9","2.86%"
"NESHOBA","3","0.95%"
"NEWTON","1","0.32%"
"NOXUBEE","1","0.32%"
"OKTIBBEHA","9","2.86%"
"PANOLA","2","0.63%"
"PEARL","4","1.27%"
"PERRY","1","0.32%"
"PIKE","4","1.27%"
"PONTOTOC","5","1.59%"
"PRENTISS","3","0.95%"
"RANKIN","13","4.13%"
"SCOTT","3","0.95%"
"SHARKEY","2","0.63%"
"STONE","3","0.95%"
"TATE","5","1.59%"
"TIPPAH","4","1.27%"
"TISHOMINGO","4","1.27%"
"TUNICA","1","0.32%"
"UNION","5","1.59%"
"WALTHALL","2","0.63%"
"WARREN","5","1.59%"
"WASHINGTON","14","4.44%"
"WAYNE","1","0.32%"
"YALOBUSHA","1","0.32%"
"YAZOO","3","0.95%"
"TOTAL","315","100.00%"
