"County","Offenders","Percent"
"ADAMS","17","0.69%"
"ALCORN","29","1.18%"
"AMITE","6","0.24%"
"ATTALA","12","0.49%"
"BENTON","6","0.24%"
"BOLIVAR","12","0.49%"
"CALHOUN","17","0.69%"
"CARROLL","4","0.16%"
"CHICKASAW","22","0.90%"
"CLARKE","4","0.16%"
"CLAY","31","1.26%"
"COAHOMA","12","0.49%"
"COPIAH","12","0.49%"
"COVINGTON","5","0.20%"
"DESOTO","115","4.69%"
"FORREST","103","4.20%"
"FRANKLIN","4","0.16%"
"GEORGE","32","1.30%"
"GREENE","9","0.37%"
"GRENADA","16","0.65%"
"HANCOCK","72","2.94%"
"HARRISON","291","11.86%"
"HINDS","52","2.12%"
"HOLMES","3","0.12%"
"HUMPHREYS","3","0.12%"
"ITAWAMBA","13","0.53%"
"JACKSON","136","5.54%"
"JASPER","4","0.16%"
"JEFF","8","0.33%"
"JEFFERSON","4","0.16%"
"JONES","52","2.12%"
"KEMPER","1","0.04%"
"LAFAYETTE","36","1.47%"
"LAMAR","34","1.39%"
"LAUDERDALE","79","3.22%"
"LAWRENCE","11","0.45%"
"LEAKE","20","0.82%"
"LEE","86","3.51%"
"LEFLORE","15","0.61%"
"LINCOLN","40","1.63%"
"LOWNDES","101","4.12%"
"MADISON","83","3.38%"
"MARION","35","1.43%"
"MARSHALL","42","1.71%"
"MONROE","26","1.06%"
"MONTGOMERY","5","0.20%"
"NESHOBA","31","1.26%"
"NEWTON","16","0.65%"
"NOXUBEE","3","0.12%"
"OKTIBBEHA","43","1.75%"
"PANOLA","38","1.55%"
"PEARL","65","2.65%"
"PERRY","14","0.57%"
"PIKE","45","1.83%"
"PONTOTOC","30","1.22%"
"PRENTISS","32","1.30%"
"QUITMAN","2","0.08%"
"RANKIN","108","4.40%"
"SCOTT","28","1.14%"
"SHARKEY","3","0.12%"
"SIMPSON","12","0.49%"
"SMITH","13","0.53%"
"STONE","21","0.86%"
"SUNFLOWER","6","0.24%"
"TALLAHATCHIE","5","0.20%"
"TATE","15","0.61%"
"TIPPAH","14","0.57%"
"TISHOMINGO","9","0.37%"
"TUNICA","8","0.33%"
"UNAVAILABLE","13","0.53%"
"UNION","33","1.35%"
"WALTHALL","12","0.49%"
"WARREN","37","1.51%"
"WASHINGTON","36","1.47%"
"WAYNE","11","0.45%"
"WEBSTER","2","0.08%"
"WILKINSON","2","0.08%"
"WINSTON","6","0.24%"
"YALOBUSHA","13","0.53%"
"YAZOO","7","0.29%"
"TOTAL","2453","100.00%"
