"OFFENSE","Black","White","Hispanic","Other","Total"
"CAPITAL RAPE                                                 0","","0","0","0","0"
"CHILD ENDANGERMENT                                          0","","7","0","0","7"
"CHILD MOLESTATION                                           0","","0","0","0","0"
"CHILD PORNOGRAPHY                                           0","","0","0","0","0"
"ENTICE CHILD FOR INDECENT PURPOSES                          0","","0","0","0","0"
"EXPLOITATION/CHILD                                          0","","0","0","0","0"
"FONDLING                                                     0","","1","0","0","1"
"FONDLING A CHILD                                             0","","0","0","0","0"
"GRATIFICATION/LUST                                           0","","0","0","0","0"
"KIDNAP MINOR                                                0","","0","0","0","0"
"RAPE                                                         0","","0","0","0","0"
"SEX ASSAULT                                                  0","","1","0","0","1"
"SEX OFFENSE                                                  0","","0","0","0","0"
"SEXUAL BATTERY                                               2","","3","0","0","5"
"SEXUAL PENETRATION OF INCARCERATED 
OFFENDER BY LAW ENFORCEME","0","0","0","0","0"
"STATUTORY RAPE                                              0","","2","0","0","2"
"UNLAWFUL TOUCHING/CHILD                                     0","","0","0","0","0"
"UNNATURAL INTERCOURSE                                       0","","0","0","0","0"
"Total","2","14","0","0","16"
