"County","Offenders","Percent"
"ADAMS","44","0.47%"
"ALCORN","75","0.80%"
"AMITE","18","0.19%"
"ATTALA","50","0.54%"
"BENTON","11","0.12%"
"BOLIVAR","51","0.55%"
"CALHOUN","41","0.44%"
"CARROLL","13","0.14%"
"CHICKASAW","44","0.47%"
"CHOCTAW","8","0.09%"
"CLAIBORN","18","0.19%"
"CLARKE","30","0.32%"
"CLAY","70","0.75%"
"COAHOMA","44","0.47%"
"COPIAH","74","0.79%"
"COVINGTON","26","0.28%"
"DESOTO","335","3.59%"
"FORREST","306","3.28%"
"FRANKLIN","16","0.17%"
"GEORGE","56","0.60%"
"GREENE","23","0.25%"
"GRENADA","44","0.47%"
"HANCOCK","116","1.24%"
"HARRISON","674","7.22%"
"HINDS","313","3.35%"
"HOLMES","22","0.24%"
"HUMPHREYS","11","0.12%"
"ISSAQUENA","1","0.01%"
"ITAWAMBA","39","0.42%"
"JACKSON","384","4.11%"
"JASPER","14","0.15%"
"JEFF","21","0.23%"
"JEFFERSON","15","0.16%"
"JONES","173","1.85%"
"KEMPER","21","0.23%"
"LAFAYETTE","78","0.84%"
"LAMAR","96","1.03%"
"LAUDERDALE","252","2.70%"
"LAWRENCE","27","0.29%"
"LEAKE","56","0.60%"
"LEE","208","2.23%"
"LEFLORE","65","0.70%"
"LINCOLN","95","1.02%"
"LOWNDES","269","2.88%"
"MADISON","260","2.79%"
"MARION","105","1.13%"
"MARSHALL","87","0.93%"
"MONROE","87","0.93%"
"MONTGOMERY","21","0.23%"
"NESHOBA","86","0.92%"
"NEWTON","47","0.50%"
"NOXUBEE","12","0.13%"
"OKTIBBEHA","117","1.25%"
"OUT-OF-STATE","1","0.01%"
"PANOLA","103","1.10%"
"PEARL","177","1.90%"
"PERRY","33","0.35%"
"PIKE","149","1.60%"
"PONTOTOC","69","0.74%"
"PRENTISS","82","0.88%"
"QUITMAN","5","0.05%"
"RANKIN","344","3.69%"
"SCOTT","75","0.80%"
"SHARKEY","13","0.14%"
"SIMPSON","36","0.39%"
"SMITH","22","0.24%"
"STONE","48","0.51%"
"SUNFLOWER","46","0.49%"
"TALLAHATCHIE","26","0.28%"
"TATE","55","0.59%"
"TIPPAH","43","0.46%"
"TISHOMINGO","27","0.29%"
"TUNICA","35","0.38%"
"UNAVAILABLE","28","0.30%"
"UNION","76","0.81%"
"WALTHALL","36","0.39%"
"WARREN","119","1.28%"
"WASHINGTON","152","1.63%"
"WAYNE","43","0.46%"
"WEBSTER","10","0.11%"
"WILKINSON","5","0.05%"
"WINSTON","40","0.43%"
"YALOBUSHA","27","0.29%"
"YAZOO","30","0.32%"
"TOTAL","7124","100.00%"
