"Travel Permit","15","23","28","16","24","32"
"Reporting Instruction","39","47","17","38","46","65"
"Investigation","53","55","21","24","70","48"
"Acceptance","35","61","68","54","77","51"
"Rejection","17","13","28","18","10","13"
"Cancellation","3","1","0","0","0","0"
"Pending","53","55","21","24","70","48"
"Progress Report","20","10","3","6","11","12"
"Violation","24","27","21","10","27","21"
"Probation Warrant","6","11","0","0","0","0"
"Parole Warrant","2","3","0","0","3","1"
"Closure","50","26","12","15","18","22"
"Discharge","23","9","10","10","10","8"
"New File","1","0","0","20","0","0"
"Updates","221","262","191","154","237","213"
"Revocation","1","0","0","0","0","0"
"File Deletion","0","0","0","0","0","0"
"TOTAL","563","603","420","389","603","534"
