"Travel Permit","20","30","35","21","35","29"
"Reporting Instruction","69","47","77","95","71","72"
"Investigation","135","71","126","87","107","114"
"Acceptance","102","89","77","71","99","75"
"Rejection","18","13","48","50","18","36"
"Cancellation","2","1","4","2","0","2"
"Pending","135","71","126","87","107","114"
"Progress Report","59","45","42","28","39","21"
"Violation","49","32","28","47","36","32"
"Probation Warrant","2","4","0","2","0","1"
"Parole Warrant","1","3","0","2","1","1"
"Closure","93","49","62","38","48","55"
"Discharge","11","14","10","10","12","12"
"New File","58","40","68","72","109","93"
"Updates","554","447","470","446","356","324"
"Revocation","0","0","0","0","0","0"
"File Deletion","0","0","0","0","0","0"
"TOTAL","1,308","956","1,173","1,058","1,038","981"
