"LOCATION","JAN","FEB","MAR","APR","MAY","JUN"
"Mississippi State Penitentiary","4,584","4,465","4,486","4,575","4,556","4,581"
"Central Mississippi Correctional Facility","2,987","3,080","3,102","2,981","3,002","3,110"
"South Mississippi Correctional Institu-
tion","2,137","2,124","2,144","2,164","2,182","2,186"
"County Jails","1,917","1,868","1,798","1,788","1,790","1,705"
"Community Work Centers","1,668","1,674","1,718","1,742","1,709","1,656"
"County/Regional Correctional Facilities","2,734","2,734","2,740","2,741","2,742","2,739"
"Private Prisons","4,737","4,764","4,765","4,775","4,802","4,839"
"Restitution Centers","14","14","13","13","10","14"
"Governor's Mansion","5","5","5","5","5","5"
"E-CODE","35","27","25","17","22","33"
"TOTAL","20,818","20,753","20,797","20,800","20,819","20,868"
"","","","","","",""
"ACTUAL TOTAL CAPACITY","22,180","22,196","22,196","22,244","22,084","22,084"
