"COUNTY","OFFENDERS","PERCENT"
"Adams","322","1.32%"
"Alcorn","279","1.15%"
"Amite","128","0.53%"
"Attala","188","0.77%"
"Benton","34","0.14%"
"Bolivar","322","1.32%"
"Calhoun","244","1.00%"
"Carroll","106","0.44%"
"Chickasaw","202","0.83%"
"Choctaw","80","0.33%"
"Claiborne","81","0.33%"
"Clarke","155","0.64%"
"Clay","343","1.41%"
"Coahoma","327","1.34%"
"Copiah","255","1.05%"
"Covington","77","0.32%"
"Desoto","635","2.61%"
"Forrest","683","2.80%"
"Franklin","79","0.32%"
"George","130","0.53%"
"Greene","80","0.33%"
"Grenada","358","1.47%"
"Hancock","286","1.17%"
"Harrison","1,975","8.11%"
"Hinds","1,575","6.47%"
"Holmes","149","0.61%"
"Humphreys","134","0.55%"
"Issaquena","9","0.04%"
"Itawamba","96","0.39%"
"Jackson","696","2.86%"
"Jasper","68","0.28%"
"Jefferson","84","0.34%"
"Jefferson Davis","53","0.22%"
"Jones","447","1.84%"
"Kemper","42","0.17%"
"Lafayette","242","0.99%"
"Lamar","281","1.15%"
"Lauderdale","930","3.82%"
"Lawrence","73","0.30%"
"Leake","192","0.79%"
"Lee","740","3.04%"
"Leflore","375","1.54%"
"Lincoln","338","1.39%"
"Lowndes","1,077","4.42%"
"Madison","464","1.91%"
"Marion","279","1.15%"
"Marshall","273","1.12%"
"Monroe","337","1.38%"
"Montgomery","150","0.62%"
"Neshoba","245","1.01%"
"Newton","136","0.56%"
"Noxubee","87","0.36%"
"Oktibbeha","468","1.92%"
"Panola","375","1.54%"
"Pearl River","421","1.73%"
"Perry","71","0.29%"
"Pike","622","2.55%"
"Pontotoc","277","1.14%"
"Prentiss","201","0.83%"
"Quitman","100","0.41%"
"Rankin","787","3.23%"
"Scott","351","1.44%"
"Sharkey","38","0.16%"
"Simpson","84","0.34%"
"Smith","52","0.21%"
"Stone","109","0.45%"
"Sunflower","330","1.36%"
"Tallahatchie","180","0.74%"
"Tate","179","0.74%"
"Tippah","100","0.41%"
"Tishomingo","82","0.34%"
"Tunica","154","0.63%"
"Union","205","0.84%"
"Walthall","155","0.64%"
"Warren","367","1.51%"
"Washington","546","2.24%"
"Wayne","245","1.01%"
"Webster","79","0.32%"
"Wilkinson","57","0.23%"
"Winston","184","0.76%"
"Yalobusha","107","0.44%"
"Yazoo","176","0.72%"
"Verification Pending","308","1.26%"
"TOTAL","24,351","100.00%"
