"MALES","","","",""
"VIOLENT","BLACK","","WHITE  HISPANIC  OTHER",""
"Aggravated Assault Pub. Official w/Weapon","2","1","0","0"
"Aggravated Assault","935","210","4","7"
"Aggravated Assault-Domestic","2","1","0","0"
"Arson","42","46","2","0"
"Arson 1st Degree","7","5","0","0"
"Arson 2nd Degree","0","3","0","0"
"Arson 3rd Degree","2","0","0","0"
"Arson - Residence","4","5","0","0"
"Assault","4","0","0","0"
"Drive-By Shooting","49","6","0","3"
"Intimidation","1","0","0","0"
"Kidnapping","59","25","0","0"
"Mayhem","2","2","0","0"
"Simple Assault","23","8","0","0"
"TOTAL","1,164","342","8","10"
