"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC  OTHER",""
"Amphetamine Possession","0","1","0","0"
"Cocaine","1","0","0","0"
"Cocaine - Trafficking","2","0","0","0"
"Cocaine - Possession","1,047","125","7","5"
"Controlled Substance","5","1","0","0"
"Heroin - Possession","0","2","1","0"
"Marijuana Manufacture","3","11","0","0"
"Marijuana Possession","204","69","14","5"
"Methamphetamine","4","312","2","1"
"Methamphetamine -Distribute","0","6","1","0"
"Poss of Controlled Substance with Intent","81","58","8","3"
"Poss of Cocaine W/Intent to Distribute","108","4","5","0"
"Poss of Marijuana W/Intent to Distribute","84","23","8","0"
"Poss of Precursor W/Intent to Manufacture","1","112","1","0"
"Possession of Controlled Substance","350","519","9","3"
"Possession of Precursors","2","119","0","0"
"Theft of Precursor","0","5","0","0"
"TOTAL","1,892","1,367","56","17"
