"FEMALES","","","","",""
"AGE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"14","0","0","0","0","0"
"15","0","0","0","0","0"
"16","0","0","0","0","0"
"17","1","0","0","0","1"
"18-19","10","10","0","1","21"
"20 29","359","331","2","5","697"
"30-39","411","370","5","1","787"
"40-49","304","294","2","4","604"
"50-59","84","74","1","1","160"
"60-69","12","13","0","0","25"
"70-79","1","3","0","0","4"
"80 and Over","0","0","0","0","0"
"Verification Pending","1","1","0","1","3"
"TOTAL","1,183","1,096","10","13","2,302"
