"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC  OTHER",""
"Fraudulent Use of Drivers License","0","0","0","0"
"Gambling","1","2","0","0"
"Grand Larceny","244","225","0","1"
"Harassing Communication","0","2","0","0"
"Harassing Phone Calls","0","2","0","0"
"Harboring Escapee","0","1","0","0"
"Health and Safety","1","0","0","0"
"Invade Privacy","0","2","0","0"
"Larceny From Auto","5","0","0","0"
"Leaving the Scene of Accident","4","4","2","0"
"Malicious Mischief","4","6","0","0"
"Neglect Family","1","3","0","0"
"Nonsupport of Parent","1","0","0","0"
"Obscene Communication","0","1","0","0"
"Obstructing Justice","2","0","0","0"
"Obtain Contsub/Fraud","0","8","0","0"
"Operating Chop Shop","1","2","0","0"
"Possess Counterfeited","2","0","0","0"
"Possession Stolen Property","30","16","0","0"
"Possession Stolen Vehicle","0","3","0","0"
"Possession of Tools For Commission Of Crime","1","0","0","0"
"Possession Weapon/Felon","86","31","0","0"
"Prescription Forgery","4","27","0","0"
"Property Crime","2","18","0","0"
"Receiving Stolen Property","110","55","0","0"
"Receiving Stolen Vehicle","0","1","0","0"
"Sale of Stolen Property","2","1","0","0"
"Shoplifting","149","27","0","0"
"Simple Assault-Police Officer","52","24","1","1"
"Smuggling Contraband/Prison","2","0","0","0"
"Smuggling","0","0","0","0"
"Stolen Property","1","0","0","0"
"Stolen Vehicle","0","1","0","0"
"Tax Revenue","0","1","0","0"
"Threat to Bomb","1","0","0","0"
"Traffic Offenses","2","3","0","0"
"Transport Interstate Stolen Property","0","0","0","0"
