"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","14","0.32%"
"2","5","0","0","47","1.08%"
"0","0","0","0","1","0.02%"
"7","5","0","0","47","1.08%"
"2","7","0","1","48","1.10%"
"0","0","0","0","2","0.05%"
"7","12","0","0","45","1.03%"
"0","0","0","0","5","0.11%"
"1","0","0","0","2","0.05%"
"0","0","0","0","1","0.02%"
"0","0","0","0","2","0.05%"
"0","0","0","0","28","0.64%"
"0","0","0","0","2","0.05%"
"0","0","0","0","8","0.18%"
"1","0","0","0","14","0.32%"
"0","2","0","1","15","0.34%"
"1","0","0","0","2","0.05%"
"34","37","0","0","180","4.12%"
"1","1","0","0","15","0.34%"
"0","0","0","0","4","0.09%"
"0","0","0","0","2","0.05%"
"1","0","0","0","2","0.05%"
"23","30","0","0","127","2.90%"
"0","0","0","0","2","0.05%"
"0","0","0","0","1","0.02%"
"0","0","0","0","24","0.55%"
"12","78","1","1","1,120","25.62%"
"1","0","0","0","2","0.05%"
"0","0","0","0","1","0.02%"
"0","0","0","0","1","0.02%"
"3","12","0","1","37","0.85%"
"3","5","0","0","23","0.53%"
"1","0","0","0","1","0.02%"
"1","0","0","0","2","0.05%"
"0","0","0","1","3","0.07%"
"4","3","0","0","10","0.23%"
"0","1","0","0","4","0.09%"
