"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,024","1","1,119","0","30","0","1","0","6","0","0","0","4,181"
"CMCF","1,383","781","738","672","16","8","3","2","2","3","1","1","3,610"
"SMCI","2,088","0","962","0","45","0","2","0","9","0","0","0","3,106"
"County Jails (approved)","820","99","436","100","9","1","1","0","1","0","4","0","1,471"
"County Jails (unapproved)","133","17","82","16","3","0","0","0","0","0","0","0","251"
"Private Prisons","3,618","0","1,178","0","29","0","6","0","6","0","3","0","4,840"
"Regional Correctional Facilities","2,208","0","844","0","22","0","2","0","5","0","0","0","3,081"
"Community Work Centers","1,032","111","488","134","10","0","3","1","1","0","0","0","1,780"
"Community Trusties","11","0","5","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","67","14","27","11","1","0","0","0","0","0","0","0","120"
"Court Order","219","13","106","35","0","0","0","0","0","0","0","0","373"
"","14,603","1,036","5,985","968","165","9","18","3","30","3","8","1","22,829"
"Intensive Supervison Program","463","139","394","174","11","1","4","1","2","4","5","4","1,202"
"Earned Release Supervision","1,116","122","504","83","5","1","0","0","0","1","0","0","1,832"
"Medical Release","17","3","15","0","0","0","0","0","0","0","0","0","35"
"Other Custody","127","9","117","12","38","3","1","0","3","0","3","1","314"
"At Large","37","2","15","2","3","0","0","0","0","0","0","0","59"
"Off-Grounds Medical (Hospital)","3","0","0","0","0","0","0","0","0","0","0","0","3"
"TOTAL","16,366","1,311","7,030","1,239","222","14","23","4","35","8","16","6","26,274"
"% OF TOTAL OFFENSES","62.29%","4.99%","26.76%","4.72%","0.84%","0.05%","0.09%","0.02%","0.13%","0.03%","0.06%","0.02%","100.00%"
