"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,289","3","1,190","0","28","0","5","0","4","0","0","0","4,519"
"CMCF","1,189","784","634","700","13","5","2","3","0","3","0","0","3,333"
"SMCI","1,719","0","827","0","29","0","2","0","7","0","0","0","2,584"
"County Jails (approved)","703","66","495","81","10","4","0","0","2","0","9","0","1,370"
"County Jails (unapproved)","50","2","23","6","1","0","0","0","1","0","0","0","83"
"Private Prisons","3,662","0","1,167","0","22","0","6","0","7","0","3","0","4,867"
"Regional Correctional Facilities","2,179","0","866","0","16","0","1","0","6","0","1","0","3,069"
"Community Work Centers","1,014","103","489","102","9","0","4","2","4","0","0","0","1,727"
"Community Trusties","14","0","3","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","14","4","4","3","0","0","0","0","0","0","0","0","25"
"Court Order","163","10","118","38","0","0","1","0","0","1","0","0","331"
"","13,996","972","5,816","930","128","9","21","5","31","4","13","0","21,925"
"Intensive Supervison Program","444","116","421","172","8","1","0","1","1","1","3","2","1,170"
"Earned Release Supervision","1,070","101","429","77","3","3","4","0","2","0","0","0","1,689"
"Medical Release","4","0","4","0","0","0","0","0","0","0","0","0","8"
"Other Custody","119","9","119","15","35","2","0","0","3","0","3","1","306"
"At Large","55","3","19","3","5","0","0","0","1","0","0","0","86"
"Off-Grounds Medical (Hospital)","4","2","3","1","0","0","0","0","0","0","0","0","10"
"TOTAL","15,692","1,203","6,811","1,198","179","15","25","6","38","5","19","3","25,194"
"% OF TOTAL OFFENSES","62.28%","4.77%","27.03%","4.76%","0.71%","0.06%","0.10%","0.02%","0.15%","0.02%","0.08%","0.01%","100.00%"
