"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,301","1","1,267","0","42","0","5","0","4","0","1","0","4,621"
"CMCF","1,078","776","598","611","6","7","2","2","0","4","0","1","3,085"
"SMCI","1,443","0","669","0","22","0","1","0","7","0","0","0","2,142"
"County Jails (approved)","920","60","551","76","8","1","2","0","4","0","7","4","1,633"
"County Jails (unapproved)","95","10","106","26","2","0","0","0","2","1","1","0","243"
"Private Prisons","3,509","0","1,216","0","18","0","3","0","5","0","0","0","4,751"
"Regional Correctional Facilities","1,994","0","722","0","19","0","0","0","3","0","0","0","2,738"
"Community Work Centers","1,044","115","436","107","3","0","0","0","4","0","0","0","1,709"
"Community Trusties","9","0","9","0","0","0","1","0","0","0","0","0","19"
"Pending File Review","105","12","79","13","0","0","0","0","0","0","0","0","209"
"","13,498","974","5,653","833","120","8","14","2","29","5","9","5","21,150"
"Intensive Supervison Program","579","105","468","159","6","0","4","3","1","0","7","3","1,335"
"Earned Release Supervision","1,075","125","430","66","4","1","2","0","2","0","0","0","1,705"
"Medical Release","2","0","0","1","0","0","0","0","0","0","0","0","3"
"Other Custody/At Large","175","13","137","15","11","0","0","0","0","0","0","0","351"
"Off-Grounds Medical (Hospital)","3","1","3","1","0","0","0","0","0","0","0","0","8"
"TOTAL","15,332","1,218","6,691","1,075","141","9","20","5","32","5","16","8","24,552"
"% OF TOTAL OFFENSES","62.45%","4.96%","27.25%","4.38%","0.57%","0.04%","0.08%","0.02%","0.13%","0.02%","0.07%","0.03%","100.00%"
