"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,732","1","1,338","1","17","0","2","0","2","0","0","0","5,093"
"CMCF","1,038","807","580","479","9","5","5","2","1","2","0","0","2,928"
"SMCI","1,365","0","614","0","16","0","2","0","3","0","0","0","2,000"
"County Jails (approved)","1,074","78","542","36","10","2","3","1","2","0","0","0","1,748"
"County Jails (unapproved)","80","10","87","11","1","0","0","0","0","1","0","0","190"
"Private Prisons","3,094","0","914","0","8","0","3","0","3","0","0","0","4,022"
"Regional Correctional Facilities","1,600","0","430","0","4","0","2","0","2","0","0","0","2,038"
"Community Work Centers","847","76","316","65","4","0","1","0","1","0","1","0","1,311"
"Community Trusties","13","0","6","0","0","0","0","0","0","0","0","0","19"
"","12,843","972","4,827","592","69","7","18","3","14","3","1","0","19,349"
"Intensive Supervison Program","687","116","492","147","4","1","2","0","2","0","0","0","1,451"
"Earned Release Supervision","724","73","243","34","2","0","2","1","1","0","0","0","1,080"
"Medical Release","","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","98","8","105","14","4","0","0","0","0","1","0","0","230"
"At Large","52","4","22","3","1","0","0","0","1","0","0","0","83"
"University of MS Medical Center","9","0","3","0","0","0","0","0","0","0","0","0","12"
"TOTAL","14,413","1,173","5,692","790","80","8","22","4","18","4","1","0","22,205"
"% by Demographics","64.91%","5.28%","25.63%","3.56%","0.36%","0.04%","0.10%","0.02%","0.08%","0.02%","0.00%","0.00%","100.00%"
