"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,289","0","1,034","0","19","0","1","0","7","0","0","0","3,350"
"CMCF","1,188","339","705","498","24","6","8","3","3","1","0","1","2,776"
"SMCI","1,936","0","1,027","0","28","0","0","0","8","0","0","0","2,999"
"County Jails (approved)","457","9","358","25","4","0","2","0","2","0","1","0","858"
"County Jails (unapproved)","205","9","130","18","2","1","0","0","0","0","0","0","365"
"Youthful Offender Facility","30","0","1","0","1","0","0","0","0","0","0","0","32"
"Private Prisons","2,829","0","1,047","0","29","0","9","0","5","0","1","0","3,920"
"Regional Correctional Facilities","2,145","111","1,003","117","30","3","4","0","8","0","0","0","3,421"
"Community Work Centers","505","46","269","118","0","1","2","1","2","0","1","0","945"
"Community Trusties","34","0","14","0","0","0","0","0","2","0","0","0","50"
"Pending File Review","47","3","35","4","1","0","0","0","1","0","0","0","91"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"County Jail","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Court Order","166","4","115","16","0","0","0","0","0","0","0","0","301"
"","11,831","521","5,740","797","138","11","26","4","38","1","3","1","19,111"
"Intensive Supervison Program","283","98","228","114","7","2","1","1","3","0","0","0","737"
"Earned Release Supervision","519","57","175","42","2","0","1","0","1","0","0","0","797"
"Medical Release","7","0","5","2","0","0","0","0","0","0","0","0","14"
"Other Custody","233","12","206","23","41","4","1","1","3","0","3","0","527"
"Transitional Housing","2","0","0","0","0","0","0","0","0","0","0","0","2"
"At Large","15","0","7","2","3","0","0","0","0","0","0","0","27"
"Off-Grounds Medical (Hospital)","6","0","3","0","0","0","0","0","0","0","0","0","9"
"TOTAL","12,896","688","6,364","980","191","17","29","6","45","1","6","1","21,224"
"% OF TOTAL OFFENDERS","60.76%","3.24%","29.98%","4.62%",".90%",".08%",".14%",".03%",".21%",".00%",".03%",".00%","100.00%"
