"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","4,153","1","1,461","0","35","0","7","0","6","0","0","0","5,663"
"CMCF","1,104","845","604","540","15","5","4","1","2","5","0","0","3,125"
"SMCI","1,372","0","707","0","18","0","4","0","6","0","0","0","2,107"
"County Jails (approved)","1,120","62","653","52","10","2","3","0","1","1","0","0","1,904"
"County Jails (unapproved)","102","10","81","13","1","1","0","0","0","0","0","0","208"
"Private Prisons","2,537","0","840","0","7","0","4","0","2","0","0","0","3,390"
"Regional Correctional Facilities","2,020","0","558","0","8","0","0","0","3","0","0","0","2,589"
"Community Work Centers","818","83","340","72","5","0","2","0","1","0","1","0","1,322"
"Community Trusties","11","0","7","0","0","0","","0","0","0","0","0","18"
"","13,237","1,001","5,251","677","99","8","24","1","21","6","1","0","20,326"
"Intensive Supervison Program","621","132","508","182","4","1","3","3","2","0","0","0","1,456"
"Earned Release Supervision","779","81","272","36","1","0","1","1","0","0","0","0","1,171"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","88","3","90","9","4","0","0","0","0","0","0","0","194"
"At Large","89","9","48","8","1","0","0","0","0","1","0","0","156"
"University of MS Medical Center","3","2","2","0","1","0","0","0","0","0","0","0","8"
"TOTAL","14,817","1,228","6,171","912","110","9","28","5","23","7","1","0","23,311"
"% of Total Offenses","63.56%","5.27%","26.47%","3.91%","0.47%","0.04%","0.12%","0.02%","0.10%","0.03%","0.00%","0.00%","100.00%"
