"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","4,191","1","1,470","0","33","0","7","0","6","0","0","0","5,708"
"CMCF","1,067","833","612","559","11","5","3","0","3","5","0","0","3,098"
"SMCI","1,333","0","684","0","22","0","4","0","5","0","0","0","2,048"
"County Jails (approved)","1,009","41","614","49","8","2","2","2","5","0","0","0","1,732"
"County Jails (unapproved)","80","9","86","20","1","0","0","0","1","0","0","0","197"
"Private Prisons","2,506","0","919","0","7","0","2","0","4","0","0","0","3,438"
"Regional Correctional Facilities","2,138","0","598","0","12","0","0","0","2","0","0","0","2,750"
"Community Work Centers","941","115","378","117","5","0","0","0","2","0","0","0","1,558"
"Community Trusties","15","0","7","0","0","0","0","0","0","0","0","0","22"
"","13,280","999","5,368","745","99","7","18","2","28","5","0","0","20,551"
"Intensive Supervison Program","581","114","491","172","6","1","2","2","3","0","0","0","1,372"
"Earned Release Supervision","851","88","257","40","2","0","0","1","0","1","0","0","1,240"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","111","4","102","10","3","0","0","0","0","0","0","0","230"
"At Large","87","7","47","9","2","0","0","0","0","1","0","0","153"
"University of MS Medical Center","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","14,910","1,212","6,265","976","112","8","20","5","31","7","0","0","23,546"
"% of Total Offenses","63.32%","5.15%","26.61%","4.15%","0.48%","0.03%","0.08%","0.02%","0.13%","0.03%","0.00%","0.00%","100.00%"
