"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","TOTAL"
"MSP","3,959","1","1,319","2","23","0","2","0","3","0","5,309"
"CMCF","1,154","780","594","436","6","4","2","2","3","2","2,983"
"SMCI","1,428","0","565","0","14","0","1","0","3","0","2,011"
"County Jails (approved)","812","47","423","30","2","0","5","0","0","0","1,319"
"County Jails (unapproved)","74","4","47","5","0","0","0","0","0","0","130"
"Private Prisons","2,599","0","607","0","6","0","1","0","3","0","3,216"
"Regional Correctional Facilities","1,556","0","423","0","4","0","4","0","0","0","1,987"
"Community Work Centers","871","70","288","40","4","0","1","1","1","0","1,276"
"Community Trusties","18","0","6","0","0","0","0","0","0","0","24"
"","12,471","902","4,272","513","59","4","16","3","13","2","18,255"
"Intensive Supervison Program","588","115","395","97","3","1","0","0","4","0","1,203"
"Earned Release Supervision","636","65","195","31","5","2","0","1","0","1","936"
"Medical Release","1","0","1","0","0","0","0","0","0","0","2"
"Other Custody","96","8","84","11","2","0","0","0","0","0","201"
"At Large","42","5","19","2","1","0","0","0","1","0","70"
"University of MS Medical Center","4","0","1","0","0","0","0","0","0","0","5"
"TOTAL","13,838","1,095","4,967","654","70","7","16","4","18","3","20,672"
"% of Total Offenses","66.94%","5.30%","24.03%","3.16%","0.34%","0.03%","0.08%","0.02%","0.09%","0.01%","100.00%"
