"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,319","0","1,034","0","11","0","2","0","3","0","0","0","3,369"
"CMCF","1,481","446","821","501","22","4","4","2","3","0","0","0","3,284"
"SMCI","2,117","0","1,035","0","42","0","3","0","10","0","0","0","3,207"
"Youthful Offender Facility","23","0","4","0","1","0","0","0","0","0","0","0","28"
"County Jails (approved)","857","45","520","62","3","0","2","0","8","0","0","0","1,497"
"County Jails (unapproved)","319","21","153","34","3","0","1","1","0","0","0","0","532"
"Private Prisons","3,213","0","1,060","0","27","0","1","0","6","0","0","0","4,307"
"Regional Correctional Facilities","2,754","141","1,248","168","36","1","2","1","8","0","0","0","4,359"
"Community Work Centers","841","76","451","170","2","0","1","0","1","0","1","0","1,543"
"Community Trusties","9","0","4","0","0","0","0","0","0","0","0","0","13"
"Pending File Review","24","9","16","3","1","0","0","0","0","0","0","0","53"
"Court Order","193","5","102","32","1","0","1","0","3","0","0","0","337"
"","14,150","743","0","970","149","5","17","4","42","0","1","0","22,529"
"Intensive Supervison Program","644","177","504","263","4","1","4","0","4","2","5","0","1,608"
"Earned Release Supervision","1,014","86","455","101","5","1","1","0","3","0","0","0","1,666"
"Medical Release","18","1","6","2","0","0","0","0","0","0","0","0","27"
"Other Custody","223","9","162","26","48","5","0","1","2","0","4","0","480"
"At Large","20","0","8","2","3","0","0","0","0","0","0","0","33"
"Off-Grounds Medical (Hospital)","4","2","5","1","0","0","0","0","0","0","0","0","12"
"TOTAL","16,073","1,018","1,140","1,365","209","12","22","5","51","2","10","0","26,355"
"% OF TOTAL OFFENDERS","60.99%","3.86%","4.33%","5.18%",".79%",".05%",".08%",".02%",".19%",".01%",".04%",".00%","100.00%"
