"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,410","0","1,331","0","44","0","5","0","4","0","1","","4,795"
"CMCF","1,056","826","559","621","9","8","1","0","2","5","","","3,087"
"SMCI","1,425","0","721","0","23","0","1","0","8","0","","","2,178"
"County Jails (approved)","1,031","73","625","80","11","1","4","1","4","0","7","1","1,838"
"County Jails (unapproved)","102","10","91","19","1","0","0","0","0","0","","","223"
"Private Prisons","3,398","0","1,137","0","13","0","4","0","8","0","","","4,560"
"Regional Correctional Facilities","2,051","0","679","0","13","0","0","0","3","0","","","2,746"
"Community Work Centers","1,024","121","436","93","8","0","0","0","2","0","1","","1,685"
"Community Trusties","9","0","9","0","0","0","0","0","0","0","","","18"
"","13,506","1,030","5,588","813","122","9","15","1","31","5","9","1","21,130"
"Intensive Supervison Program","558","105","458","159","4","0","5","2","3","0","6","2","1,302"
"Earned Release Supervision","840","95","292","38","3","0","1","0","1","0","","","1,270"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody/At Large","133","4","117","14","3","0","0","0","0","0","0","0","271"
"University of MS Medical Center","","","","","","","","","","","","","0"
"TOTAL","15,037","1,234","6,455","1,024","132","9","21","3","35","5","15","3","23,973"
"% of Total Offenses","62.72%","5.15%","26.93%","4.27%","0.55%","0.04%","0.09%","0.01%","0.15%","0.02%","0.06%","0.01%","100.00%"
