"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,298","0","1,033","0","12","0","2","0","3","0","0","0","3,348"
"CMCF","1,523","452","832","520","21","4","4","3","3","0","0","0","3,362"
"SMCI","2,136","0","1,039","0","42","0","2","0","10","0","0","0","3,229"
"County Jails (approved)","883","50","513","72","4","0","2","0","6","0","1","0","1,531"
"County Jails (unapproved)","236","17","133","30","4","0","3","0","1","0","0","0","424"
"Youthful Offender Facility","23","0","5","0","1","0","0","0","0","0","0","0","29"
"Private Prisons","3,195","0","1,046","0","29","0","2","0","6","0","0","0","4,278"
"Regional Correctional Facilities","2,806","133","1,276","161","39","1","3","1","9","0","0","0","4,429"
"Community Work Centers","848","68","464","172","1","0","1","0","2","0","1","0","1,557"
"Community Trusties","8","0","3","0","0","0","0","0","0","0","0","0","11"
"Pending File Review","34","8","27","2","1","0","0","0","0","0","0","0","72"
"Court Order","198","7","124","25","1","0","1","0","3","0","0","0","359"
"","14,188","735","0","982","155","5","20","4","43","0","2","0","22,629"
"Intensive Supervison Program","642","188","510","257","5","1","4","0","4","2","5","0","1,618"
"Earned Release Supervision","1,013","86","459","104","4","1","1","0","2","0","0","0","1,670"
"Medical Release","17","1","6","2","0","0","0","0","0","0","0","0","26"
"Other Custody","223","10","161","27","48","6","0","1","2","0","4","0","482"
"At Large","20","0","8","2","3","0","0","0","0","0","0","0","33"
"Off-Grounds Medical (Hospital)","2","1","4","2","0","0","0","0","0","0","0","0","9"
"TOTAL","16,105","1,021","1,148","1,376","215","13","25","5","51","2","11","0","26,467"
"% OF TOTAL OFFENDERS","60.85%","3.86%","4.34%","5.20%",".81%",".05%",".09%",".02%",".19%",".01%",".04%",".00%","100.00%"
