"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,120","0","1,171","0","38","0","3","0","8","0","0","0","4,340"
"CMCF","1,014","708","566","648","11","7","4","1","0","4","0","1","2,964"
"SMCI","1,382","0","700","0","25","0","4","0","6","0","0","0","2,117"
"County Jails (approved)","517","55","416","59","6","2","0","1","3","0","4","1","1,064"
"County Jails (unapproved)","3","0","0","0","0","0","0","0","0","0","0","0","3"
"Private Prisons","3,629","0","1,120","0","17","0","7","0","9","0","0","0","4,782"
"Regional Correctional Facilities","2,236","0","749","0","22","0","1","0","5","0","2","0","3,015"
"Community Work Centers","1,044","117","500","106","5","2","1","0","3","0","1","0","1,779"
"Community Trusties","11","0","10","0","0","0","0","0","0","0","0","0","21"
"Pending File Review","5","24","2","12","0","0","0","1","0","0","0","0","44"
"Court Order","151","8","116","25","0","0","2","0","1","0","1","0","304"
"","13,112","912","5,350","850","124","11","22","3","35","4","8","2","20,433"
"Intensive Supervison Program","644","148","584","190","4","1","0","0","2","1","8","1","1,583"
"Earned Release Supervision","1,169","114","462","86","6","1","1","0","0","0","0","0","1,839"
"Medical Release","5","0","5","1","0","0","0","0","0","0","0","0","11"
"Other Custody","132","11","124","14","22","0","0","0","0","0","2","0","305"
"At Large","75","3","38","4","3","0","0","0","0","0","0","0","123"
"Off-Grounds Medical (Hospital)","4","1","0","1","0","0","0","0","0","0","0","0","6"
"TOTAL","15,141","1,189","6,563","1,146","159","13","23","3","37","5","18","3","24,300"
"% OF TOTAL OFFENSES","62.31%","4.89%","27.01%","4.72%","0.65%","0.05%","0.09%","0.01%","0.15%","0.02%","0.07%","0.01%","100.00%"
