"","Region I","Region II","Region III","TOTAL"
"Probation","2,236","2,699","2,865","7,800"
"Parole","2,476","1,637","3,235","7,348"
"Compact Probation","434","297","715","1,446"
"Compact Parole","177","176","281","634"
"Drug Court","977","567","1,055","2,599"
"Suspension","1","0","3","4"
"Earned Release Supervision","647","396","615","1,658"
"Medical Release","4","3","21","28"
"Non-Adjudicated Cases","760","1,055","1,294","3,109"
"Diversion Program","0","0","159","159"
"Post Release Supervision","3,634","2,359","3,010","9,003"
"ISP-Court Sentenced","356","193","443","992"
"ISP-Prison Releases","251","123","187","561"
