"GENDER 
MALE 
  
FEMALE 
 
TOTAL","","","","",""
"259 
  
4 
  
263","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","137","4","","141","53.61"
"Black","119","0","","119","45.25"
"Hispanic","2","0","","2",".76"
"Other","1","0","","1",".38"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"18 - 19","2","0","","2",".76"
"20 - 29","84","2","","86","32.70"
"30 - 39","44","1","","45","17.11"
"40 - 49","77","1","","78","29.66"
"50 - 59","33","0","","33","12.55"
"60 - 69","14","0","","14","5.32"
"70 - 79","3","0","","3","1.14"
"80+","2","0","","2",".76"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Capital Rape","1","0","","1",".38"
"Child Molestation","12","0","","12","4.56"
"Child Pornography","1","0","","1",".38"
"Computer Luring Child for Sexual Conduct","1","0","","1",".38"
"Entice Child for Indecent Purpose","3","0","","3","1.14"
"Exploitation of Child","7","0","","7","2.66"
"Failure to Register as Sex Offender","42","0","","42","15.97"
"Fondling","10","0","","10","3.80"
"Fondling a Child","11","0","","11","4.18"
