"","","","INMATE RELEASES","","",""
"","","","Youthful Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","0",".00","Lawrence","0",".00"
"","Clay","0",".00","Leake","0",".00"
"","Covington","0",".00","Lowndes","0",".00"
"","Forrest","0",".00","Marion","0",".00"
"","George","0",".00","Neshoba","0",".00"
"","Greene","0",".00","Newton","0",".00"
"","Hancock","1","16.67","Noxubee","0",".00"
"Southern","","","","","",""
"","Harrison","2","33.33","Oktibbeha","0",".00"
"Counties","","","","","",""
"","Jackson","0",".00","Pearl River","0",".00"
"","Jasper","0",".00","Perry","0",".00"
"","Jeff Davis","0",".00","Scott","0",".00"
"","Jones","2","33.33","Simpson","0",".00"
"","Kemper","0",".00","Smith","0",".00"
"","Lamar","1","16.67","Stone","0",".00"
"","Lauderdale","0",".00","Wayne","0",".00"
"","","","","TOTAL","6","35.29"
