"","","","INMATE ADMISSIONS","","",""
"","","","Drug Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","21","1.55","Lawrence","7",".52"
"","Clay","45","3.32","Leake","16","1.18"
"","Covington","4",".30","Lowndes","106","7.83"
"","Forrest","116","8.57","Marion","16","1.18"
"","George","30","2.22","Neshoba","31","2.29"
"","Greene","14","1.03","Newton","22","1.62"
"","Hancock","45","3.32","Noxubee","6",".44"
"Southern","","","","","",""
"","Harrison","340","25.11","Oktibbeha","65","4.80"
"Counties","","","","","",""
"","Jackson","129","9.53","Pearl River","39","2.88"
"","Jasper","18","1.33","Perry","13",".96"
"","Jeff Davis","13",".96","Scott","27","1.99"
"","Jones","60","4.43","Simpson","10",".74"
"","Kemper","5",".37","Smith","15","1.11"
"","Lamar","17","1.26","Stone","21","1.55"
"","Lauderdale","86","6.35","Wayne","17","1.26"
"","","","","TOTAL","1,354","41.96"
