"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"77 
  
1 
  
78","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","14","1","","15","19.23"
"Black","63","0","","63","80.77"
"Hispanic","0","0","","0",".00"
"Other","0","0","","0",".00"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"13","1","0","","1","1.28"
"15","4","0","","4","5.13"
"16","13","1","","14","17.95"
"17","59","0","","59","75.64"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","19","0","","19","24.36"
"Homicide/Manslaughter","5","0","","5","6.41"
"Property","11","0","","11","14.10"
"Drug Possession","3","0","","3","3.85"
"Robbery","17","0","","17","21.79"
"Drug Sale","2","0","","2","2.56"
"Sex Offense","9","0","","9","11.54"
"Violent","11","1","","12","15.38"
