"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Abscond","0","0","1","2","1","10",".10"
"Appeal","0","0","0","0","0","1",".01"
"Closed","0","0","0","0","3","5",".05"
"Death","1","0","2","1","0","14",".14"
"Death by Inmate","0","0","0","0","0","0",".00"
"Death/Execution","0","0","0","0","0","1",".01"
"Death/Natural Causes","3","2","2","0","3","30",".30"
"Death/Suicide","0","0","1","0","0","1",".01"
"Deported","0","0","0","0","0","0",".00"
"Discharge to Probation","7","1","1","2","1","66",".65"
"Discharged","7","16","5","9","13","98",".97"
"Discharged-Held In","0","0","0","0","0","0",".00"
"ERS","156","185","124","170","171","1,859","18.44"
"Escape","0","0","0","0","1","1",".01"
"Expiration","97","115","79","88","104","1,531","15.19"
"Governor's Suspension","0","0","0","0","0","1",".01"
"House Arrest/ISP","40","38","33","4","69","322","3.19"
"Inmate","7","6","9","7","9","99",".98"
"Medical Release","0","1","1","2","0","13",".13"
"Non-Report","0","0","0","0","0","3",".03"
"Out of State","20","17","13","15","4","154","1.53"
"Pardon","0","0","0","0","0","0",".00"
"Parole","157","337","286","412","274","2,426","24.07"
"Pending","1","2","0","0","2","5",".05"
"Pending Arrival","3","4","0","0","2","14",".14"
"Probation","121","146","148","127","150","1,666","16.53"
"Rejected","0","0","0","0","0","2",".02"
"Remanded","0","0","0","0","0","1",".01"
"Rendered","0","0","0","0","0","1",".01"
"RID","4","8","4","1","0","33",".33"
"RID on Street","1","0","0","0","0","3",".03"
"Shock Probation","1","5","2","4","2","28",".28"
"Unsupervised Probation","2","4","3","2","1","27",".27"
"Release Type Unknown","162","147","164","158","77","1,665","16.52"
"TOTAL","790","1,034","878","1,004","887","10,080","100.00"
