"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","51","74","0","1","126","9.12"
"1 - 2 Years","130","145","0","3","278","20.12"
"3 - 5 Years","257","337","0","3","597","43.20"
"6 - 10 Years","149","134","2","0","285","20.62"
"11 - 20 Years","55","27","0","0","82","5.93"
"21 -30 Years","3","1","0","0","4",".29"
"Greater Than 30 Years","1","2","0","0","3",".22"
"Life","3","2","0","0","5",".36"
"Verification Pending","1","1","0","0","2",".14"
"TOTAL","650","723","2","7","1,382","100.00"
