"","","","Youthful Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","1","3.33","Lawrence","0",".00"
"","Clay","1","3.33","Leake","0",".00"
"","Covington","0",".00","Lowndes","3","10.00"
"","Forrest","5","16.67","Marion","0",".00"
"","George","0",".00","Neshoba","2","6.67"
"","Greene","0",".00","Newton","0",".00"
"","Hancock","1","3.33","Noxubee","0",".00"
"Southern","","","","","",""
"","Harrison","3","10.00","Oktibbeha","1","3.33"
"Counties","","","","","",""
"","Jackson","0",".00","Pearl River","1","3.33"
"","Jasper","1","3.33","Perry","0",".00"
"","Jeff Davis","0",".00","Scott","2","6.67"
"","Jones","1","3.33","Simpson","0",".00"
"","Kemper","1","3.33","Smith","0",".00"
"","Lamar","2","6.67","Stone","1","3.33"
"","Lauderdale","3","10.00","Wayne","1","3.33"
"","","","","TOTAL","30","38.46"
