"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Escape - Return","0","1","2","1","0","11",".12"
"ISP-Prison","0","0","0","0","1","5",".06"
"New Prisoner","493","525","396","179","164","4,870","55.19"
"NonAdjudicated Prob.","0","0","0","0","0","3",".04"
"Non-Adjudicated RID","2","2","4","5","1","49",".56"
"Parole Violation","0","0","1","0","1","2",".02"
"Post Release Probation","1","1","1","0","0","4",".05"
"Probation-Awaiting","0","0","0","0","0","2",".02"
"Probation Revoked","235","249","228","141","96","2,652","30.05"
"Return-Abscond","11","8","7","14","11","131","1.48"
"Return - ERS","39","37","27","25","21","389","4.41"
"Return - House Arrest","27","34","29","34","18","339","3.84"
"Returned - Medical","0","0","0","0","0","1",".01"
"Returned Parole","29","24","63","21","25","362","4.10"
"Sentenced to Probation","2","0","0","0","0","4",".05"
"TOTAL","839","881","758","420","338","8,824","100.00"
