"County","Offenders","Percent"
"Clarke","22","1.16"
"Lawrence","16",".84"
"Clay","79","4.16"
"Leake","33","1.74"
"Covington","7",".37"
"Lowndes","224","11.78"
"Forrest","124","6.52"
"Marion","30","1.58"
"George","38","2.00"
"Neshoba","54","2.84"
"Greene","15",".79"
"Newton","16",".84"
"Hancock","39","2.05"
"Noxubee","8",".42"
"Harrison","437","22.99"
"Oktibbeha","104","5.47"
"Jackson","169","8.89"
"Pearl River","59","3.10"
"Jasper","22","1.16"
"Perry","13",".68"
"Jeff Davis","8",".42"
"Scott","49","2.58"
"Jones","67","3.52"
"Simpson","14",".74"
"Kemper","11",".58"
"Smith","11",".58"
"Lamar","29","1.53"
"Stone","23","1.21"
"Lauderdale","151","7.94"
"Wayne","29","1.53"
"TOTAL","1,901","43.47"
