"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","0","0","0","0","0","0"
"Reporting Instruction","84","65","75","63","39","61"
"Investigation","153","126","132","71","130","98"
"Acceptance","96","113","75","37","54","44"
"Rejection","55","24","25","29","9","29"
"Cancellation","0","3","0","2","2","4"
"Pending","153","126","132","71","130","98"
"Progress Report","87","57","77","64","68","77"
"Violation","62","60","72","49","51","34"
"Probation Warrant","6","6","5","0","7","8"
"Parole Warrant","3","12","9","2","7","5"
"Closure","64","83","74","65","69","75"
"Discharge","4","3","23","4","1","7"
"New File","46","174","65","30","30","37"
"Updates","381","167","309","203","226","244"
"Revocation","0","0","0","0","0","0"
"File Deletion","0","0","3","1","2","1"
"Inquiries","1,102","1,318","1,080","611","672","704"
"TOTAL","2,296","2,337","2,156","1,302","1,497","1,526"
