"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"817 
  
131 
  
948","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","305","59","","364","38.40"
"Black","507","71","","578","60.96"
"Hispanic","3","0","","3",".32"
"Other","2","1","","3",".32"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"50  -  55","531","95","","626","66.03"
"56  -  60","178","24","","202","21.31"
"61  -  65","78","6","","84","8.86"
"66  -  70","16","4","","20","2.11"
"71  -  75","11","1","","12","1.27"
"76  -  80","1","1","","2",".21"
"80+","2","0","","2",".21"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","53","4","","57","6.01"
"Homicide/Manslaughter","52","2","","54","5.70"
"Property","236","51","","287","30.27"
"Drug Possession","197","32","","229","24.16"
"Robbery","16","0","","16","1.69"
"Sale of Drugs","175","39","","214","22.57"
"Sex Offense","52","0","","52","5.49"
"Violent","36","3","","39","4.11"
