"PROGRAM
A1
A2
B
FUND
NAME
SALARIES
TRAVEL
CONTRACTUAL"
"2551
Support - General
 $ 106,275,267
 $ 438,509
 $ 21,299,523
3551
Support - Special
 $ 11,006,492
 $ 17,741
 $ 416,432
2555
Private Prisons - Operating
 $                       -
 $                    -
 $ 35,194,681
2555
Private Prisons - Capital
 $                       -
 $                    -
 $ 9,460437
3564
Private Prisons - (deficits)
 $                       -
 $                    -
 $ 30,516,748
2556
Regional Prisons
 $                       -
 $                    -
 $ 22,176,970
3562
Regional Prisons (deficit)
 $                       -
 $                    -
 $ 10,515,222
3554
Training
 $ 250,000
 $ 48,246
 $ 68,170
3556
Community Services
 $ 10,061,433
 $ 41,067
 $ 1,432,527
3557
Confiscated Funds
 $                       -
 $                    -
 $                      -
3561
Vocational Education Equipment
 $                       -
 $                    -
 $                      -
3552
Agriculture Enterprises - Special
 $ 538,341
 $ 2,881
 $ 179,808
3549
Salvage
 $                       -
 $                    -
 $ 4,880
2553
Parole Board
 $ 622,524
 $ 22,642
 $ 39,450
2554
Medical Services
 $ 271,928
 $                    -
 $ 30,542,358
3553
Medical Services (deficit)
 $                       -
 $                    -
 $ 19,292,734
2557
Local Confinement
 $                       -
 $                    -
 $ 8,568,739
 $                       -
 $                    -
 $ 7,219,005
3559
Local Confinement (deficit)"
"$ 129,025,985
 $ 571,086
 $ 196,927,684

TOTAL"
""
