"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"424 
  
4 
  
428","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","208","4","","212","49.54"
"Black","207","0","","207","48.36"
"Hispanic","6","0","","6","1.40"
"Other","3","0","","3",".70"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"14","0","0","","0",".00"
"15","1","0","","1",".23"
"16","2","0","","2",".47"
"17","6","0","","6","1.40"
"18 - 19","11","0","","11","2.57"
"20 - 29","137","2","","139","32.48"
"30 - 39","113","2","","115","26.87"
"40 - 49","108","0","","108","25.23"
"50 - 59","32","0","","32","7.48"
"60 - 69","11","0","","11","2.57"
"70 - 79","3","0","","3",".70"
"80+","0","0","","0",".00"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Child Molestation","4","0","","4",".93"
"Child Pornography","4","0","","4",".93"
"Entice Child for Indecent Purposes","3","0","","3",".70"
"Exploitation of Child","13","0","","13","3.04"
"Failure to Register as Sex Offender","66","0","","66","15.42"
"Fondling","29","0","","29","6.78"
"Fondling a Child","8","0","","8","1.87"
"Forcible Sexual Intercourse","1","0","","1",".23"
