"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"22,300 
  
2,272 
  
24,572","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","6,582","1,141","","7,723","31.43"
"Black","15,457","1,111","","16,568","67.43"
"Hispanic","190","14","","204",".83"
"Other","63","6","","69",".28"
"Unknown Race","8","0","","8",".03"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"13","0","0","","0",".00"
"14","2","0","","2",".01"
"15","5","0","","5",".02"
"16","14","1","","15",".06"
"17","50","1","","51",".21"
"18  -  19","527","17","","544","2.21"
"20  -  29","7,964","671","","8,635","35.14"
"30  -  39","6,793","711","","7,504","30.54"
"40  -  49","4,438","645","","5,083","20.69"
"50  -  59","2,023","192","","2,215","9.01"
"60  -  69","383","29","","412","1.68"
"70  -  79","82","4","","86",".35"
"80+","11","1","","12",".05"
"Verification Pending","8","0","","8",".03"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","2,807","154","","2,961","12.05"
"Homicide/Manslaughter","2,394","195","","2,589","10.54"
"Property","3,195","773","","3,968","16.15"
"Possession of Drugs","3,644","513","","4,157","16.92"
"Robbery","2,819","122","","2,941","11.97"
"Sale of Drugs","3,445","358","","3,803","15.48"
"Sex Offense","2,374","36","","2,410","9.81"
"Violent","1,622","121","","1,743","7.09"
