"MALE","","","","",""
"SEX OFFENSES","BLACK","","WHITE   HISPANIC","OTHER","TOTAL"
"Child Molestation","0","4","0","0","4"
"Child Pornography","0","4","0","0","4"
"Entice Child Indecent Purposes","1","2","0","0","3"
"Exploitation of Child","1","12","0","0","13"
"Failure to Register Sex Offender","37","27","0","2","66"
"Fondling","11","18","0","0","29"
"Fondling a Child","3","5","0","0","8"
"Forcible Sexual Intercourse","1","0","0","0","1"
"Gratification of Lust","5","12","2","0","19"
"Peeping Tom","3","2","0","0","5"
"Rape","12","4","0","0","16"
"Sex Offense","0","1","0","0","1"
"Sexual Battery","56","68","3","0","127"
"Statutory Rape","61","27","0","1","89"
"Unlawful Touching of Child","15","22","1","0","38"
"Violation Sex Offender Registry","1","0","0","0","1"
"TOTAL","207","208","6","3","424"
